Rio2016-female-players-volleball+gymnastics
height,weight
1.8,67.0
1.87,65.0
1.82,70.0
1.84,68.0
1.8,74.0
1.89,75.0
1.84,72.0
1.73,66.0
1.92,69.0
1.95,75.0
1.75,59.0
1.9,73.0
1.85,70.0
1.8,75.0
1.86,74.0
1.64,52.0
1.8,63.0
1.77,66.0
1.8,79.0
1.83,76.0
1.87,74.0
1.82,75.0
1.86,72.0
1.9,83.0
1.86,78.0
1.73,69.0
1.8,75.0
1.9,90.0
1.93,79.0
1.88,79.0
1.84,80.0
1.74,67.0
1.7,66.0
1.95,73.0
1.85,65.0
1.83,71.0
2.02,82.0
1.84,68.0
1.66,61.0
1.91,80.0
1.8,62.0
1.78,64.0
1.78,69.0
1.71,67.0
1.81,68.0
1.9,65.0
1.77,72.0
1.86,78.0
1.81,66.0
1.93,76.0
1.88,72.0
1.9,71.0
1.89,82.0
1.81,75.0
1.92,68.0
1.91,79.0
1.76,59.0
1.72,64.0
1.68,57.0
1.77,61.0
1.82,79.0
1.71,65.0
1.85,78.0
1.69,67.0
1.76,65.0
1.73,57.0
1.9,72.0
1.9,76.0
1.9,84.0
1.96,78.0
1.78,67.0
1.78,66.0
1.72,64.0
1.82,74.0
1.86,71.0
1.94,79.0
1.86,75.0
1.71,63.0
1.9,72.0
1.88,75.0
1.84,70.0
1.75,72.0
1.96,82.0
1.92,72.0
1.83,72.0
1.87,73.0
1.9,74.0
1.73,66.0
1.73,59.0
1.92,76.0
1.79,66.0
1.93,75.0
1.78,75.0
1.88,79.0
1.88,75.0
1.88,72.0
1.93,72.0
1.79,67.0
1.85,75.0
1.59,57.0
1.88,68.0
1.84,80.0
1.74,70.0
1.84,70.0
1.81,70.0
1.88,75.0
1.69,58.0
1.86,70.0
1.71,70.0
1.78,75.0
1.92,77.0
1.83,72.0
1.95,92.0
1.88,74.0
1.83,75.0
1.76,62.0
1.83,67.0
1.8,68.0
1.74,70.0
1.8,68.0
1.78,68.0
1.8,58.0
1.87,80.0
1.91,72.0
1.79,68.0
1.74,67.0
1.73,62.0
1.64,62.0
1.84,80.0
1.83,70.0
1.8,71.0
1.82,63.0
1.72,65.0
1.65,62.0
1.84,76.0
