petal_len, petal_width
4.7, 1.4
4.5, 1.5
4.9, 1.5
4,   1.3
4.6, 1.5
4.5, 1.3
4.7, 1.6
3.3, 1. 
4.6, 1.3
3.9, 1.4
3.5, 1. 
4.2, 1.5
4,   1. 
4.7, 1.4
3.6, 1.3
4.4, 1.4
4.5, 1.5
4.1, 1. 
4.5, 1.5
3.9, 1.1
4.8, 1.8
4,   1.3
4.9, 1.5
4.7, 1.2
4.3, 1.3
4.4, 1.4
4.8, 1.4
5,   1.7
4.5, 1.5
3.5, 1. 
3.8, 1.1
3.7, 1. 
3.9, 1.2
5.1, 1.6
4.5, 1.5
4.5, 1.6
4.7, 1.5
4.4, 1.3
4.1, 1.3
4,   1.3
4.4, 1.2
4.6, 1.4
4,   1.2
3.3, 1. 
4.2, 1.3
4.2, 1.2
4.2, 1.3
4.3, 1.3
3,   1.1
4.1, 1.3
