1393 TSE ETF UBS ETF US stocks (MSCI USA)（ETF）,,,,,
Date(日付)
Open: Opening price (始値)
High: High price (高値)
Low: Low price (安値)
Close: Closing price (終値)
Vol: Trading volume (出来高)
AdjClose: Adjusted closing price (終値調整値)

Date,Open,High,Low,Close,Vol,AdjClose
"2017-01-04","25500","25520","25410","25520","21","25520"
"2017-01-05","25520","25520","25200","25220","71","25220"
"2017-01-06","25150","25170","25150","25170","3","25170"
"2017-01-10","25170","25170","25010","25010","57","25010"
"2017-01-11","25040","25040","25040","25040","1","25040"
"2017-01-12","24980","24980","24880","24880","29","24880"
"2017-01-13","24870","24870","24870","24870","17","24870"
"2017-01-16","24740","24800","24740","24750","77","24750"
"2017-01-17","24760","24760","24750","24750","39","24750"
"2017-01-18","24930","24930","24580","24580","101","24580"
"2017-01-19","24790","24790","24790","24790","1","24790"
"2017-01-20","24900","25190","24880","24880","61","24880"
"2017-01-23","25050","25050","24580","24580","31","24580"
"2017-01-25","24800","24800","24800","24800","4","24800"
"2017-01-26","24800","24800","24800","24800","21","24800"
"2017-01-27","25150","25180","25150","25180","6","25180"
"2017-01-30","25180","25180","25180","25180","12","25180"
"2017-01-31","24800","24800","24710","24710","12","24710"
"2017-02-01","24750","24750","24750","24750","1","24750"
"2017-02-02","24650","24650","24370","24400","47","24400"
"2017-02-03","24270","24480","24270","24480","3","24480"
"2017-02-08","24480","24480","24480","24480","16","24480"
"2017-02-09","24530","24530","24530","24530","2","24530"
"2017-02-13","25180","25200","25180","25200","45","25200"
"2017-02-14","25230","25310","25230","25240","38","25240"
"2017-02-15","25450","25510","25450","25510","3","25510"
"2017-02-21","25550","25550","25550","25550","8","25550"
"2017-02-22","25520","25640","25520","25640","4","25640"
"2017-02-23","25650","25650","25650","25650","1","25650"
"2017-02-24","25560","25560","25550","25550","2","25550"
"2017-02-27","25340","25360","25340","25360","12","25360"
"2017-02-28","25660","25660","25600","25600","32","25600"
"2017-03-01","25620","25840","25620","25840","114","25840"
"2017-03-02","26180","26260","26160","26160","233","26160"
"2017-03-03","26170","26440","26160","26440","113","26440"
"2017-03-06","26440","26500","26440","26470","23","26470"
"2017-03-07","26470","26470","26470","26470","9","26470"
"2017-03-08","26400","26400","26370","26390","26","26390"
"2017-03-13","25990","26000","25990","26000","180","26000"
"2017-03-14","25990","27210","25990","27200","30","27200"
"2017-03-16","26690","26690","26690","26690","6","26690"
"2017-03-22","25820","25820","25820","25820","36","25820"
"2017-03-29","25740","25740","25740","25740","47","25740"
"2017-03-31","25740","25740","25740","25740","23","25740"
"2017-04-05","25250","25250","25250","25250","34","25250"
"2017-04-06","25240","25240","25240","25240","12","25240"
"2017-04-07","25230","25230","25230","25230","9","25230"
"2017-04-12","25230","25230","25120","25120","58","25120"
"2017-04-13","24950","24950","24930","24930","61","24930"
"2017-04-14","24970","24970","24670","24670","6","24670"
"2017-04-26","25260","25440","25260","25440","4","25440"
"2017-04-28","25100","25400","25100","25400","2","25400"
"2017-05-01","25800","25870","25570","25570","5","25570"
"2017-05-02","25870","25880","25870","25880","7","25880"
"2017-05-08","26260","26260","25950","25950","51","25950"
"2017-05-09","25950","25950","25950","25950","1","25950"
"2017-05-10","26280","26280","26110","26110","57","26110"
"2017-05-15","26000","26000","26000","26000","7","26000"
"2017-05-18","25320","25320","25200","25200","23","25200"
"2017-05-19","25210","25210","25210","25210","5","25210"
"2017-05-23","25530","25530","25530","25530","20","25530"
"2017-05-24","25730","25740","25730","25740","9","25740"
"2017-05-25","25990","25990","25870","25870","2","25870"
"2017-05-26","26000","26000","26000","26000","4","26000"
"2017-05-31","25750","25850","25750","25850","4","25850"
"2017-06-01","26350","26350","25750","25750","30","25750"
"2017-06-02","26230","26730","26120","26120","34","26120"
"2017-06-05","25830","25940","25830","25940","8","25940"
"2017-06-06","25750","25750","25750","25750","40","25750"
"2017-06-09","25800","25800","25800","25800","4","25800"
"2017-06-20","26460","26460","26460","26460","5","26460"
"2017-06-21","26050","26050","26050","26050","10","26050"
"2017-06-22","26040","26040","26040","26040","2","26040"
"2017-06-26","26050","26050","26050","26050","18","26050"
"2017-06-29","26400","26400","26400","26400","15","26400"
"2017-07-04","26500","26530","26410","26530","25","26530"
"2017-07-06","26610","26610","26610","26610","15","26610"
"2017-07-11","26760","26760","26760","26760","20","26760"
"2017-07-14","26810","26810","26810","26810","20","26810"
"2017-07-20","26720","26720","26720","26720","30","26720"
"2017-07-24","26350","26350","26350","26350","50","26350"
"2017-07-25","26540","26540","26540","26540","20","26540"
"2017-08-09","26000","26000","26000","26000","22","26000"
"2017-08-10","25500","26060","25500","26060","26","26060"
"2017-08-14","25570","25780","25570","25780","2","25780"
"2017-08-15","26000","26000","26000","26000","5","26000"
"2017-08-17","26000","26000","26000","26000","10","26000"
"2017-08-18","26000","26000","25570","25570","12","25570"
"2017-08-21","25450","25450","25450","25450","16","25450"
"2017-08-22","25570","25570","25570","25570","9","25570"
"2017-08-23","25570","25870","25570","25870","37","25870"
"2017-08-28","26200","26200","25650","25650","7","25650"
"2017-08-29","25390","25390","25390","25390","3","25390"
"2017-09-04","25920","25920","25920","25920","4","25920"
"2017-09-07","25690","25690","25690","25690","4","25690"
"2017-09-11","25700","25700","25700","25700","10","25700"
"2017-09-13","26480","26480","26320","26320","50","26320"
"2017-09-15","26400","26400","26400","26400","12","26400"
"2017-09-21","26940","26940","26940","26940","10","26940"
"2017-09-25","27290","27290","26970","26970","3","26970"
"2017-09-26","26690","26690","26690","26690","10","26690"
"2017-10-02","27230","27400","27230","27400","11","27400"
"2017-10-03","27400","27570","27400","27570","12","27570"
"2017-10-04","28070","28070","27530","27530","10","27530"
"2017-10-06","27530","27750","27530","27750","4","27750"
"2017-10-10","27700","27700","27700","27700","20","27700"
"2017-10-16","26980","26980","26980","26980","10","26980"
"2017-10-17","27520","27520","27520","27520","2","27520"
"2017-10-18","27600","27600","27550","27570","11","27570"
