d1,d2,type
5.52,7.22,v1
3.58,8.34,v1
4.03,8.35,v1
4.37,6.70,v1
3.29,8.44,v1
4.00,7.49,v1
4.00,9.28,v1
2.42,8.14,v1
4.92,9.55,v1
4.54,7.59,v1
3.44,7.74,v1
3.85,8.27,v1
4.45,8.95,v1
3.76,8.51,v1
3.78,6.89,v1
2.69,8.16,v1
4.50,8.02,v1
4.11,7.61,v1
4.25,7.42,v1
2.63,9.57,v1
5.49,7.65,v1
4.14,7.24,v1
3.65,8.57,v1
5.83,8.12,v1
3.96,7.93,v1
2.69,8.70,v1
3.64,8.44,v1
1.94,8.33,v1
4.94,8.87,v1
3.63,8.26,v1
3.33,7.44,v1
4.97,7.67,v1
2.51,7.53,v1
4.48,8.19,v1
2.14,7.03,v1
3.40,6.35,v1
2.92,8.08,v1
5.32,6.80,v1
5.59,6.24,v1
3.70,8.34,v1
4.76,7.36,v1
3.84,8.45,v1
4.51,7.52,v1
3.32,6.99,v1
2.46,6.88,v1
2.38,7.54,v1
4.34,7.75,v1
6.02,7.26,v1
4.24,7.75,v1
3.53,6.62,v1
5.72,8.01,v1
4.21,6.39,v1
4.09,7.83,v1
4.23,8.63,v1
3.88,8.98,v1
3.72,9.54,v1
2.71,6.60,v1
4.45,8.68,v1
3.91,9.09,v1
5.07,8.88,v1
3.67,7.16,v1
2.28,8.37,v1
3.91,9.67,v1
5.53,6.65,v1
3.65,8.43,v1
3.20,9.00,v1
2.93,7.37,v1
3.05,8.52,v1
3.73,7.04,v1
2.94,7.27,v1
5.35,7.26,v1
3.75,8.17,v1
4.10,7.92,v1
5.29,8.86,v1
5.35,7.15,v1
3.81,7.88,v1
4.30,8.86,v1
4.66,8.50,v1
3.83,6.81,v1
2.40,8.60,v1
4.59,7.57,v1
4.80,8.35,v1
4.37,8.27,v1
3.17,9.10,v1
3.82,8.10,v1
3.47,6.33,v1
3.73,6.77,v1
5.17,8.66,v1
5.38,7.77,v1
4.60,9.02,v1
4.49,8.25,v1
4.61,7.33,v1
3.99,8.97,v1
3.93,7.27,v1
3.39,6.15,v1
3.95,9.86,v1
6.03,6.28,v1
4.78,8.57,v1
3.69,8.84,v1
3.58,8.13,v1
1.66,8.76,v2
2.20,8.36,v2
1.71,7.23,v2
1.73,8.71,v2
1.93,9.25,v2
2.16,8.38,v2
2.06,8.44,v2
2.16,9.61,v2
1.91,7.50,v2
1.97,7.30,v2
1.77,7.98,v2
1.94,7.54,v2
2.12,9.58,v2
1.94,8.75,v2
2.10,7.81,v2
1.89,8.01,v2
1.88,10.79,v2
2.01,8.01,v2
1.96,7.89,v2
2.12,8.74,v2
2.04,9.01,v2
2.35,8.68,v2
1.96,7.77,v2
1.95,7.57,v2
1.79,8.98,v2
2.00,8.46,v2
2.14,7.19,v2
1.85,9.44,v2
1.99,9.12,v2
2.14,8.31,v2
1.97,8.29,v2
1.90,8.69,v2
2.19,7.95,v2
2.02,7.42,v2
2.08,8.76,v2
2.23,7.35,v2
2.23,8.81,v2
1.93,7.35,v2
1.89,8.42,v2
2.06,8.39,v2
1.97,9.93,v2
1.62,7.65,v2
2.26,7.37,v2
2.00,7.98,v2
2.15,7.60,v2
1.77,8.03,v2
2.26,8.84,v2
1.88,9.12,v2
1.98,9.83,v2
1.72,7.91,v2
1.97,10.61,v2
1.95,10.09,v2
1.96,8.34,v2
2.09,6.67,v2
2.01,8.43,v2
2.20,8.56,v2
1.91,6.66,v2
1.80,8.56,v2
2.00,8.34,v2
2.13,7.87,v2
2.25,9.00,v2
2.16,9.30,v2
1.65,8.11,v2
2.08,8.68,v2
2.29,7.98,v2
2.01,7.87,v2
1.90,8.56,v2
2.06,8.92,v2
1.90,8.05,v2
2.13,6.73,v2
2.00,8.97,v2
2.28,7.22,v2
2.10,8.60,v2
1.86,9.92,v2
2.12,8.49,v2
2.19,7.55,v2
1.89,7.33,v2
1.91,9.44,v2
1.54,8.49,v2
2.18,8.93,v2
1.88,9.24,v2
1.58,8.46,v2
1.65,8.25,v2
1.96,7.74,v2
2.15,6.03,v2
1.98,7.29,v2
2.09,8.44,v2
1.78,8.36,v2
1.73,8.82,v2
2.18,8.40,v2
2.10,8.63,v2
1.99,9.13,v2
2.26,7.79,v2
1.81,8.27,v2
1.92,7.21,v2
2.21,9.28,v2
2.37,8.53,v2
2.00,8.89,v2
2.34,9.73,v2
1.88,9.36,v2
