label,A,B,C
0,0.345066329,0.115359593,0.456916717
0,0.419649009,0.365812103,0.390604784
1,0.689613281,0.925082471,0.91624461
0,0.636881007,0.016503112,0.420522935
1,0.509997535,0.665023848,0.543389216
0,0.423263677,0.309949961,0.908954779
1,0.802587769,0.666170403,0.668330112
1,0.269893624,0.770791382,0.2128322
0,0.980201841,0.160935246,0.032865028
0,0.444533763,0.375684756,0.330252728
0,0.120876745,0.304528246,0.575798504
0,0.13797099,0.339976783,0.774992525
0,0.810093691,0.138480743,0.837130462
0,0.090312777,0.366008543,0.082126335
1,0.885813164,0.881395945,0.922425045
1,0.248909266,0.501238687,0.6434765
0,0.319153071,0.410972585,0.705243015
0,0.254897198,0.088504346,0.391853191
0,0.924121524,0.659151299,0.453098412
0,0.848387165,0.414758619,0.13972232
0,0.091245792,0.119523768,0.297072859
1,0.41287595,0.247580273,0.58700586
0,0.161224473,0.013400885,0.902283276
1,0.925752185,0.566206496,0.563591705
0,0.61681894,0.013518223,0.13545966
0,0.244786918,0.093107306,0.293213671
0,0.598599512,0.094839165,0.757771853
0,0.582353581,0.356845291,0.194347183
0,0.185310857,0.376227061,0.397455242
0,0.421428621,0.086492323,0.044694785
0,0.513169859,0.156499342,0.902528543
0,0.575056356,0.551822089,0.481900732
0,0.4432765,0.084093547,0.236189692
0,0.452015564,0.342983203,0.136198664
0,0.140704916,0.376832781,0.096639003
0,0.152683084,0.135297966,0.577257032
0,0.46453167,0.376418344,0.323976457
0,0.101342656,0.225076621,0.018941439
0,0.716864029,0.086536201,0.044059509
0,0.228656518,0.689025529,0.364260823
0,0.520711881,0.448099155,0.655522864
0,0.215494347,0.991864014,0.283862573
1,0.461438979,0.69083114,0.956793838
0,0.522224353,0.268699987,0.235241373
0,0.907938931,0.259890671,0.343569397
0,0.261858691,0.135081882,0.044135869
0,0.599642648,0.040935889,0.865637843
1,0.753004715,0.507659907,0.824406994
0,0.493233771,0.466548276,0.32386772
0,0.093180193,0.072889681,0.526140786
0,0.254723388,0.125929991,0.041940355
0,0.07409421,0.239805378,0.806840369
0,0.591645476,0.144825143,0.570131137
1,0.880090613,0.826869368,0.855159818
0,0.335021122,0.257617163,0.736349607
0,0.21442958,0.297011162,0.114706564
1,0.204160355,0.523777019,0.779307624
0,0.198358543,0.199260947,0.446222683
0,0.315420651,0.151613277,0.092676427
0,0.235034712,0.417767715,0.028603732
0,0.776576525,0.789486184,0.3353869
1,0.926016177,0.758982876,0.954833321
0,0.181939859,0.400036532,0.309975715
0,0.28557412,0.125160163,0.113692708
0,0.996953571,0.200816378,0.35311196
0,0.26715036,0.681057846,0.245916868
0,0.907742515,0.066001965,0.305942715
0,0.911375973,0.492843335,0.921307232
1,0.476205309,0.991633597,0.961010309
0,0.470390521,0.43480523,0.409070236
1,0.762620581,0.777526092,0.981400116
0,0.458122763,0.260591151,0.130718976
0,0.564811233,0.378197986,0.319587554
0,0.252564915,0.092833032,0.67799106
1,0.622557379,0.967813469,0.661808477
0,0.686646595,0.261039869,0.015645424
0,0.612380844,0.166176768,0.402919654
0,0.543079355,0.207231097,0.258272064
0,0.004851006,0.427821442,0.306045177
1,0.632605521,0.175547641,0.870833235
0,0.335401732,0.442836643,0.832550864
0,0.804512848,0.39186263,0.581757435
0,0.454355539,0.41116804,0.493208226
0,0.860409688,0.3020483,0.754737312
0,0.207665729,0.394001862,0.354274327
0,0.052346381,0.345164843,0.20029664
1,0.313142584,0.934083167,0.476305106
1,0.944807571,0.668968146,0.94614537
1,0.927786687,0.877205471,0.753239489
1,0.874467324,0.649325803,0.629086345
0,0.51876737,0.463365961,0.416220234
1,0.768689892,0.959869837,0.553244861
1,0.765602314,0.862000329,0.09145344
0,0.785233176,0.339247806,0.21136253
1,0.112454587,0.896353627,0.651439305
0,0.172992289,0.444917351,0.475226702
0,0.636080132,0.087159807,0.405906941
1,0.794747237,0.379623533,0.832184362
1,0.729647944,0.332130796,0.936552705
0,0.21640576,0.1467608,0.155144408
