d1,d2,d3,d4,w
5.18,7.39,-1.68,0.33,37.78
3.67,8.26,1.02,-0.17,30.18
4.02,8.27,-1.44,-1.59,35.58
4.29,6.99,-1.34,0.26,29.61
3.45,8.34,-0.36,0.93,28.42
4,7.6,0.79,-0.15,30.3
4,9,0.3,-0.07,35.97
2.77,8.11,0.81,1.39,23.61
4.71,9.2,-0.44,-1.25,43.92
4.42,7.68,-0.17,-1.5,34.2
3.56,7.8,-1.14,-0.65,28.52
3.88,8.21,-0.32,-1.2,32.23
4.35,8.74,0.59,1.35,38.85
3.82,8.4,-0.3,0.31,31.96
3.83,7.14,0.48,-0.86,26.92
2.98,8.13,-0.57,-0.61,24.6
4.39,8.02,-0.59,2.86,33.48
4.09,7.7,0.04,-0.61,31.44
4.19,7.55,-0.19,-0.76,31.78
2.93,9.22,0.59,0.3,27.22
5.16,7.73,0.18,0.64,39.95
4.11,7.41,1.74,0.22,30.82
3.73,8.45,-0.22,-0.91,31.69
5.42,8.09,-0.23,-1.16,44.12
3.97,7.95,-1.04,0.6,30.92
2.98,8.55,0.02,-0.05,25.51
3.72,8.34,0.68,-1.64,29.88
2.4,8.25,-0.74,1.17,18.93
4.73,8.67,-0.05,0.78,41.03
3.71,8.2,0.72,-0.24,30.23
3.48,7.57,-0.13,-0.26,26.37
4.75,7.75,-0.52,0.23,36.68
2.84,7.64,0.97,-0.69,21.05
4.37,8.15,0.1,-1.35,35.51
2.55,7.25,0.4,0.32,18.64
3.54,6.72,1.17,-1.44,22.07
3.16,8.06,1.15,0.39,25.9
5.02,7.06,-0.35,-1.44,35.99
5.24,6.63,-0.53,-0.1,34.79
3.77,8.26,0.28,-0.14,31.1
4.59,7.5,-0.13,1.78,34.19
3.87,8.35,-1.9,-1.06,34.36
4.4,7.63,1.28,-1.41,31.74
3.47,7.21,0.02,-0.65,25.04
2.8,7.13,0.74,-1.12,19.16
2.74,7.64,-1.17,-0.59,21.61
4.27,7.81,1.29,0.42,33.87
5.57,7.42,-0.59,0.77,40.92
4.19,7.8,-0.11,1.66,32.51
3.63,6.92,-1.4,-0.74,26.19
5.34,8.01,-0.17,2.64,42.32
4.17,6.74,-0.23,1.98,27.64
4.07,7.86,-0.19,-0.2,32.05
4.18,8.49,0.44,-2.29,34.45
3.91,8.76,0.06,-0.08,34.24
3.78,9.2,0.98,0.07,34.88
3,6.91,-0.47,-2.3,21.78
4.35,8.53,-1,0.07,37.05
3.93,8.84,-0.02,-0.2,34.79
4.84,8.69,0.63,-0.79,41.51
3.74,7.35,1.24,0.63,28.28
2.67,8.29,0.81,1.01,22.91
3.93,9.3,-1.77,-0.49,37.42
5.19,6.95,0.38,0.23,36.16
3.73,8.33,1.46,-0.65,30.14
3.38,8.78,0.06,-0.79,29.6
3.16,7.51,-0.52,0.08,23.73
3.26,8.41,0.31,0.52,27.61
3.79,7.25,-0.5,-0.56,27.76
3.17,7.43,0.64,-2.21,22.17
5.05,7.43,-0.01,0.59,37.49
3.8,8.13,1.39,-1.6,28.71
4.08,7.94,0.5,0.12,32.41
5.01,8.67,-0.72,1.78,42.11
5.05,7.34,0.6,-0.02,37.08
3.85,7.91,0.94,-1.19,29.34
4.23,8.67,-0.57,-1.46,37.54
4.51,8.39,-0.43,1.17,37.39
3.87,7.07,-2.31,-0.02,27.38
2.76,8.47,0.9,0.54,23.81
4.46,7.67,-0.59,0.93,33.63
4.63,8.27,-2.12,-0.05,38.36
4.29,8.21,-1.77,-0.31,35.78
3.35,8.85,-0.22,-0.95,29.9
3.86,8.08,0.76,-3.08,28.87
3.59,6.7,-0.09,-1.52,24.17
3.79,7.04,0.47,-0.07,26.65
4.91,8.51,-1.1,-0.18,41.97
5.07,7.82,-1.34,0.4,39.11
4.47,8.8,0.89,-0.13,39.2
4.38,8.19,0.49,0.16,35.99
4.47,7.48,-0.03,0.79,33.42
3.99,8.76,1.28,-0.89,33.82
3.95,7.43,-0.95,-0.29,29.62
3.53,6.56,-0.42,-1.61,23.83
3.96,9.44,1.03,0.97,38.41
5.58,6.66,1.84,0.04,37.26
4.61,8.45,0.01,0.49,38.92
3.76,8.66,1.68,1.54,35.15
3.67,8.1,-0.6,1.08,29.08
6.97,7.76,2.02,1.78,57.7
7.39,6.06,0.86,2.53,46.99
6.28,7.24,0.13,3.14,45.9
7.22,6.84,0.22,0.3,49.45
7.07,6.57,2.46,3,53.86
6.19,7.25,0.82,2.56,46.98
7.67,6.35,3.13,1.71,54.03
6.65,7.15,3.42,3.4,59.17
7.34,7.66,1.71,2.19,59.96
6.79,7.09,3.66,3.29,60.18
7.5,6.56,2.23,1.41,52.33
7.66,6.11,3.12,1.13,50.32
6.58,6.36,1.77,3.22,47.6
6.23,6.08,2.96,4.16,50.23
6.93,7.8,1.06,2.63,56.87
7.42,6.88,2.62,2.89,58.63
6.81,6.48,1.54,1.53,46.49
6.69,6.35,1.87,0.67,43.77
7.24,6.47,2.63,1.77,51.51
5.62,6.83,2.17,3.5,46
6.67,6.36,1.93,0.14,42.67
6.31,7.84,2.73,1.5,53.55
7.15,6.63,2.8,0.09,47.6
6.63,6.61,0.61,2.11,45.12
6.44,7.15,2.56,2.87,53.44
6.82,7.73,2.67,0.76,54.73
6.27,7.66,1.25,1.59,49.99
6.99,6.76,2.39,3.33,55.18
6.66,7.13,0.68,1.91,48.75
6.81,7.07,3.44,0.76,50.8
6.64,7.26,1.76,0.68,49.45
7.46,7.13,1.92,-0.01,53.12
6.95,6.53,3.2,2.77,54.21
7.26,6.37,1.86,1.25,48.59
7.24,7.09,2.6,3.05,59.24
6.6,6.41,0.95,2.87,45.01
7.28,7.68,1.43,1.34,57.88
7.17,7.02,0.61,1.47,51.26
