c1,c2,c3,c4,type
5.22,8.61,1.6,0.13,t1
3.8,8.05,1.7,0.06,t1
3.66,6.85,-1.59,0.28,t1
2.14,7.55,-0.38,-0.25,t1
3.99,8.57,1.16,-1.5,t1
3.78,8.03,-1.38,0.87,t1
3.62,7.97,-0.92,-0.9,t1
4.22,9.25,-1.3,0.22,t1
4.29,9.54,-1.36,0.57,t1
3.25,7.97,-1.13,1.18,t1
3.38,9.35,0.18,-0.22,t1
3.67,6.6,1.27,-0.31,t1
4.48,6.57,1.53,-0.23,t1
4.39,8.61,0.01,-1.85,t1
3.09,7.82,-1.97,-0.75,t1
3.22,8.41,-0.06,-1,t1
4.52,8.36,-0.34,-1.15,t1
5.1,7.94,0.35,0.17,t1
3.98,8.48,-0.13,-0.31,t1
3.52,8.11,-1.8,1.6,t1
4.77,6.93,0.41,1.49,t1
3.78,8.15,-2.07,-1.88,t1
4.51,8.13,-0.69,0.12,t1
5.08,9.28,0.31,-1,t1
4.44,7.21,0.35,0.56,t1
4.05,8.01,1.57,0.16,t1
4.51,7.7,-2.36,0.93,t1
3.55,7.91,0.34,0.31,t1
3.88,9.16,0.69,0.76,t1
3.6,8.27,-0.33,-0.3,t1
3.86,7.67,0.64,-2.51,t1
3.66,8.11,-1.1,-1.19,t1
3.87,8.54,0.66,-0.85,t1
3.73,7.3,0.54,-0.49,t1
4.06,7.81,-0.98,-1.01,t1
4.04,9.08,-0.67,1.63,t1
4.21,8.6,-0.19,-0.17,t1
4.98,7.97,-0.66,1.3,t1
2.92,7.67,1.04,-0.34,t1
4.91,7.89,0.18,1.65,t1
3.83,6.91,1.31,-1.2,t1
3.14,8.66,1.18,0.6,t1
3.88,8.24,0.06,-1.33,t1
4.06,8.1,-0.19,0.44,t1
4.75,7.09,-0.95,1.59,t1
3.26,7.5,-0.8,-1.63,t1
4.15,8.36,-0.8,-0.87,t1
4.08,8.18,0.35,0.25,t1
2.82,7.65,-0.88,-0.19,t1
3.17,8.35,0.08,-1.37,t1
4.42,8.66,0.19,1.16,t1
4.49,7.53,-0.5,0.05,t1
4.76,7.63,-0.19,1.29,t1
4.37,7.39,1.45,0.32,t1
4.28,7.19,1.61,-1.15,t1
4.09,8.56,-0.78,-0.48,t1
4.85,8.36,-0.19,1.38,t1
3.41,8.24,-0.37,-1.39,t1
3.9,7.18,-0.28,-0.47,t1
4.27,7.27,1.54,0.6,t1
2.9,7.95,0.69,1.02,t1
4.92,7.71,1.26,0.83,t1
3.44,8.08,1.78,-1.47,t1
3.95,7.51,-0.44,2.09,t1
5.51,8.46,-0.19,-0.16,t1
3.42,9.26,0.04,0.01,t1
3.63,9.08,1.03,0,t1
5.09,9.13,-0.09,-0.23,t1
3.24,8.05,0.65,-0.97,t1
3.7,8.65,1.17,-0.33,t1
4.36,7.74,1.16,1.32,t1
4.32,8.64,0.45,-1.36,t1
4.42,7.74,-0.79,-2.43,t1
4.26,7.66,-1.55,0.53,t1
4.94,7.55,1.12,0.34,t1
4.71,8.49,0.46,0.73,t1
4.42,8.19,-0.94,1.73,t1
3.52,8.13,-0.51,-0.73,t1
3.5,7.2,-0.45,0.18,t1
2.66,8.1,-1.67,0.5,t1
4.48,6.99,0.25,1.23,t1
2.72,9.03,-0.79,1.03,t1
4.62,7.91,-0.29,-0.84,t1
5.29,8.14,0.74,-1.38,t1
3.26,7.93,-0.1,-0.27,t1
3.52,6.89,0.54,-1.61,t1
3.67,7.04,0.42,1.11,t1
4.58,7.98,0.03,-0.39,t1
3.4,9.04,0.05,-0.36,t1
3.91,7.22,1.86,-0.89,t1
3.63,7.51,-0.17,1.52,t1
3.82,7.97,1.63,0.29,t1
4.9,6.82,-0.91,-0.41,t1
3.33,6.81,0.73,0.61,t1
4.05,7.71,0.17,-0.09,t1
4.19,7.97,-0.73,0.59,t1
4.6,7.73,-2.65,1.32,t1
3.12,9.07,1.59,-0.26,t1
4.78,7.89,-1.16,0.51,t1
4.3,8.25,-0.96,0.48,t1
7.57,7.6,2.06,-0.06,t2
7.3,6.76,3.02,1.58,t2
7.02,7.53,1.23,2.42,t2
6.68,6.37,2.27,5.31,t2
7.15,6.97,2.57,1.23,t2
6.48,7.53,1.88,1.63,t2
7.33,6.87,1.87,2.56,t2
7.03,7.58,2.66,2.32,t2
7.27,5.99,2.67,0.68,t2
6.74,7.01,2,2.95,t2
6.6,7.08,2.09,0.68,t2
6.54,6.94,1.55,1.73,t2
7.55,6.25,2.66,3.32,t2
6.89,7.33,1.98,0.68,t2
6.88,5.83,0.54,1.66,t2
6.11,7.47,1.79,3.67,t2
6.97,7.15,2.71,1.74,t2
5.27,7.49,2.38,0.95,t2
7.68,6.87,1.21,1.42,t2
6.88,6.44,2.82,2.84,t2
7.01,6.74,2.69,0.43,t2
6.29,6.77,2.69,1.37,t2
6.45,7.3,3.61,0.54,t2
7.3,6.84,1.75,0.84,t2
6.9,7.21,2.68,3.29,t2
7.21,7.24,1.82,1.92,t2
7.64,7.71,3.06,1.56,t2
7.33,6.01,3.23,2.43,t2
6.05,6.8,2.56,1.28,t2
6.51,7.35,2.81,0.79,t2
6.43,7.35,1.26,3.15,t2
6.55,6.72,2.69,2.88,t2
5.96,6.87,0.87,1.15,t2
5.97,6.96,4.22,2.7,t2
6.63,7.07,3.21,3.46,t2
6.7,6.72,0.52,2.49,t2
7.26,6.69,-0.61,2.5,t2
6.84,6.45,3.34,0.76,t2
7.71,6.82,1.19,1.87,t2
6.09,7.7,2.58,0.12,t2
6.3,6.53,0.74,3.12,t2
7.12,7.49,2.1,1.83,t2
6.86,7.98,1.38,3.33,t2
6.51,7.11,2.62,1.22,t2
7.38,8.19,1.69,2.88,t2
7.54,6.94,3.51,0.41,t2
7.65,7.85,1.26,1.59,t2
6.8,6.99,3.3,2.55,t2
7,6.41,2,2.36,t2
7.11,7.19,2.54,1.94,t2
7.03,7.96,0.43,0.34,t2
7.51,6.72,0.26,3.33,t2
6.75,7.26,3.07,2.66,t2
7.18,6.52,0.79,3.14,t2
5.89,6.58,1.67,3.13,t2
7.38,7.25,1.69,1.62,t2
7.82,6.93,1.11,2.39,t2
6.99,7.3,2.21,4.66,t2
7.52,7.66,0.6,1.15,t2
6.17,6.43,0.82,2.41,t2
6.83,6.68,2.93,1.43,t2
6.23,7.04,1.2,3.76,t2
7.16,8.18,2.75,2.17,t2
7.26,6.86,2.67,0.95,t2
6.31,6.78,3.52,1.39,t2
6.58,7.24,2.46,0.58,t2
6.71,8.08,0.17,-0.3,t2
8.21,6.74,1.36,-0.74,t2
6.96,6.88,1.59,1.26,t2
7.06,7.05,3.23,0.85,t2
7.18,7.41,2.35,2.15,t2
7.15,8.12,1.52,1.16,t2
6.88,6.41,2.44,2.22,t2
6.33,6.2,1.64,3.79,t2
6.66,7.11,2.55,0.81,t2
7.82,7.3,2.15,0.77,t2
7.13,5.92,3.11,2.99,t2
6.81,6.73,2.34,4.37,t2
6.32,7.52,3,1.11,t2
6.97,6.78,1.99,0.29,t2
7.02,7.28,2.71,1.7,t2
6.67,7.13,1.85,1.59,t2
7.45,7.37,2.64,2.72,t2
6.7,7.26,2.22,0.92,t2
6.92,7.17,1.88,1.73,t2
7.42,7.67,1.58,1.68,t2
7.11,6.77,1.73,0.4,t2
7.56,7.11,2.47,0.4,t2
6.88,7.61,-0.29,2.45,t2
6.78,6.77,3.24,2.55,t2
7.23,6.86,-0.37,1.19,t2
7.11,6.67,1.81,3.58,t2
7.59,6.58,1.67,2.94,t2
7.2,8.06,2.74,2.47,t2
6.99,7.29,2.24,2.61,t2
7.22,7.99,1.96,2.35,t2
7.33,7.42,2.08,2.73,t2
6.44,7.09,2.95,2.87,t2
6.93,6.91,4.34,2.06,t2
6.83,7.18,2.38,-0.09,t2
4.81,5.43,-0.03,-3.36,t3
4.06,4.18,0.93,-0.81,t3
3.66,6.82,0.12,-1.07,t3
5.66,4.26,-0.82,0.24,t3
3,5.06,1.06,-1.59,t3
5.92,5.7,-0.41,-0.93,t3
4.28,4.84,0.29,-1.42,t3
3.62,5.89,1.49,0.11,t3
4.02,5.26,1.3,-0.97,t3
7.61,6.95,-0.71,1.37,t3
6.64,5.66,-0.09,0.78,t3
4.67,5.49,1.37,0.83,t3
6.19,4.14,1.01,-0.24,t3
6.98,5.56,0.56,0.22,t3
4.01,6.17,0.91,0.86,t3
4.67,5.51,-2.15,-0.87,t3
6.02,4,-0.28,1.25,t3
5.44,4.43,-1.44,-0.09,t3
4.57,4.78,-0.63,1.27,t3
6.81,5.06,-0.38,2.28,t3
5.56,3.49,0.47,1.58,t3
5.88,7.13,1.18,-1.1,t3
7.67,4.93,0.78,1.23,t3
5.54,5.16,0.26,-0.33,t3
7.96,4.54,-0.37,-0.44,t3
5.33,4.99,1.27,-0.25,t3
4.81,7.17,0.24,-1.2,t3
5.14,3.97,-1.8,0.24,t3
5.97,4.45,-0.09,-0.73,t3
5.73,3.88,0.47,1.13,t3
5.41,4.41,-1,0.32,t3
3.32,6.73,0.18,-2.64,t3
3.77,4.32,1.48,-0.99,t3
4.69,4.52,-0.3,-1.04,t3
5.81,3.01,-0.1,-0.71,t3
6.61,4.62,-0.09,-0.69,t3
2.29,5.27,-1.03,0.2,t3
4.82,4.48,-0.53,-0.18,t3
4.47,4.58,-1.07,-1.12,t3
4.86,5.91,-0.36,0.43,t3
5.22,5.61,-0.87,0.91,t3
4.02,4.91,0.9,0,t3
3.49,4.15,-0.18,1.18,t3
6.12,3.35,0.79,0.42,t3
5.83,6.89,-1.34,-0.58,t3
4.51,3.31,-0.09,-0.41,t3
4.85,5.74,0.51,-0.01,t3
4.2,4.8,0.63,0.53,t3
3.4,4.21,-0.7,0.16,t3
5.71,6,-0.18,0.98,t3
4.23,4.2,0.03,1.16,t3
3.72,6.42,-0.42,-1.03,t3
4.3,3.88,-0.5,-1.19,t3
6.82,5.57,0.45,-0.12,t3
5.48,6.44,-1.27,0.45,t3
5.25,3.95,-1.9,0.91,t3
5.08,7.35,-0.57,0.64,t3
5.95,5.97,0.21,0.61,t3
5.8,2.58,-2.38,-0.95,t3
3.51,6.56,1.29,0.37,t3
4.71,7.14,0.03,-0.66,t3
4.25,4.74,0.52,0.41,t3
5.22,4.81,-0.92,0.9,t3
4.91,5.44,-0.11,-0.69,t3
2.73,2.92,1.77,-0.25,t3
6.27,5.2,1.81,2.47,t3
5.27,6.06,0.57,-0.77,t3
3.02,4.42,-0.34,-0.52,t3
6.25,6.26,-0.17,-1.11,t3
5.11,7.47,1.27,-1.46,t3
5.5,2.86,-0.78,0.99,t3
5,3.02,-1,-0.69,t3
5.14,4.24,-0.2,-0.64,t3
4.39,5.72,0.85,-0.82,t3
3.09,5.45,-1.15,-2.85,t3
4.26,4.01,0.29,0.75,t3
5.16,3.77,0.3,-0.57,t3
5,4.21,0.06,-0.06,t3
5.68,6.9,-0.23,1.37,t3
4.84,3.97,0.86,-0.16,t3
2.43,4.38,0.5,0.12,t3
5.77,6.08,-1.55,0.16,t3
4.03,4.72,1.54,1.28,t3
3.43,3.92,0.38,-1.37,t3
4.58,6.61,0.23,-0.58,t3
3.4,5.39,-0.45,-2.21,t3
5.34,4.26,-0.39,0.02,t3
3.89,4.6,-2.65,0.64,t3
7.1,6.06,-0.34,-0.44,t3
4.65,4.62,0.49,2.01,t3
4.3,5.32,0.51,0.99,t3
4.19,6.02,-0.8,1.98,t3
2.5,6.14,-2.5,0.17,t3
3.95,3,-1.26,1.84,t3
4.07,4.5,-0.43,-0.5,t3
4.55,4.67,1.18,0.44,t3
2.43,5.15,-1.75,0.15,t3
4.96,5.89,-0.1,-0.4,t3
6.36,6.34,0.48,1.7,t3
4.44,4.54,0.51,1.37,t3
4.86,3.82,-0.21,-0.65,t3
5.4,5.26,-2.93,0.74,t3
4.03,4.39,0.5,0.15,t3
4.44,6.97,0.01,0.22,t3
6,5.45,0.43,0.67,t3
5.15,5.12,-1.07,-0.44,t3
3.56,6.16,-0.6,0.26,t3
2.94,4.33,1.41,0.37,t3
7.51,4.68,-0.2,-0.54,t3
5.45,4.87,-0.11,-0.44,t3
3.17,5.78,-0.82,0.94,t3
5.13,6.5,1.18,0.1,t3
5.71,5.93,-1.76,2.46,t3
5.09,5.9,-0.62,2.22,t3
2.86,4.81,0.35,-0.67,t3
6.99,5.48,-0.13,0.37,t3
5.64,4.81,0.81,-1.99,t3
4.75,6.34,0.35,-0.62,t3
5.74,4.37,1.38,-0.88,t3
4.72,4.98,-0.3,-0.76,t3
4.6,5.33,-0.2,-2.15,t3
5.98,5.93,0.22,0.28,t3
2.76,4.26,-1.87,0.15,t3
6.1,4.81,1.37,-0.81,t3
5.43,4.15,-0.98,-0.08,t3
5.84,3.58,1.09,0.93,t3
6.01,6.26,1.41,1.62,t3
6.74,5.57,0.98,-1.34,t3
6.61,3.4,0.16,1.6,t3
5.99,3.98,-0.68,-1.74,t3
4.57,5.67,-2.2,-0.84,t3
5.78,4.39,0.53,-0.4,t3
4.47,3.9,-0.28,1.56,t3
3.94,6.44,1.7,0.61,t3
5.52,4.52,-0.33,0.59,t3
5.42,4.65,0.6,1.57,t3
6.35,5.68,-0.44,0.22,t3
2.62,4.27,0.4,-0.46,t3
5.69,5.07,-0.39,1.48,t3
5.78,5.23,-0.2,-0.23,t3
5.15,5.87,-1.94,-1.29,t3
6.69,4.23,-0.76,-1.76,t3
4.05,6.24,-0.19,0.15,t3
5.41,5.42,1.26,1.88,t3
4.62,7.03,0.24,0.75,t3
5.02,5.29,-1.27,0.04,t3
3.95,4.46,1.58,1.22,t3
4.88,4.45,0.33,-1.51,t3
5.79,3.79,1.1,0.43,t3
5.17,5.03,-0.95,-0.55,t3
