x,y
-1.500,-0.795
-1.474,-0.879
-1.472,-0.885
-1.470,-0.889
-1.460,-0.914
-1.404,-0.991
-1.399,-0.992
-1.395,-0.992
-1.375,-0.982
-1.341,-0.931
-1.324,-0.889
-1.305,-0.825
-1.297,-0.797
-1.296,-0.794
-1.287,-0.755
-1.282,-0.734
-1.273,-0.693
-1.261,-0.635
-1.254,-0.601
-1.235,-0.496
-1.221,-0.414
-1.204,-0.307
-1.204,-0.303
-1.202,-0.291
-1.180,-0.142
-1.172,-0.090
-1.141,0.127
-1.133,0.186
-1.127,0.227
-1.113,0.327
-1.108,0.363
-1.103,0.399
-1.091,0.479
-1.091,0.482
-1.086,0.515
-1.078,0.568
-1.071,0.616
-1.065,0.652
-1.065,0.655
-1.045,0.782
-1.040,0.812
-1.016,0.942
-1.010,0.973
-1.002,1.013
-0.991,1.060
-0.985,1.086
-0.973,1.133
-0.961,1.172
-0.960,1.176
-0.959,1.177
-0.927,1.250
-0.917,1.263
-0.895,1.273
-0.891,1.273
-0.889,1.272
-0.886,1.271
-0.846,1.209
-0.827,1.152
-0.826,1.145
-0.822,1.132
-0.820,1.126
-0.820,1.125
-0.799,1.033
-0.791,0.992
-0.787,0.973
-0.787,0.971
-0.767,0.852
-0.763,0.831
-0.759,0.804
-0.741,0.679
-0.737,0.649
-0.731,0.607
-0.692,0.289
-0.672,0.113
-0.669,0.089
-0.667,0.069
-0.663,0.038
-0.662,0.022
-0.655,-0.034
-0.613,-0.425
-0.605,-0.496
-0.588,-0.641
-0.586,-0.662
-0.575,-0.757
-0.542,-1.025
-0.526,-1.140
-0.497,-1.328
-0.479,-1.424
-0.457,-1.519
-0.451,-1.543
-0.425,-1.609
-0.405,-1.633
-0.390,-1.634
-0.383,-1.629
-0.381,-1.628
-0.378,-1.624
-0.362,-1.596
-0.323,-1.460
-0.323,-1.460
-0.314,-1.414
-0.284,-1.226
-0.189,-0.335
-0.140,0.221
-0.140,0.228
-0.126,0.391
-0.124,0.413
-0.060,1.129
-0.028,1.447
-0.003,1.661
0.014,1.781
0.020,1.824
0.028,1.871
0.125,2.080
0.140,2.042
0.145,2.028
0.170,1.914
0.181,1.850
0.191,1.781
0.192,1.773
0.192,1.768
0.207,1.656
0.234,1.399
0.244,1.288
0.286,0.777
0.314,0.398
0.327,0.203
0.336,0.079
0.341,-0.002
0.366,-0.371
0.389,-0.731
0.425,-1.246
0.450,-1.591
0.469,-1.827
0.507,-2.224
0.508,-2.234
0.508,-2.239
0.540,-2.484
0.540,-2.489
0.545,-2.521
0.558,-2.589
0.567,-2.625
0.578,-2.661
0.583,-2.673
0.584,-2.675
0.586,-2.680
0.590,-2.686
0.630,-2.657
0.636,-2.639
0.637,-2.636
0.642,-2.615
0.662,-2.510
0.666,-2.485
0.740,-1.718
0.744,-1.656
0.748,-1.595
0.775,-1.178
0.780,-1.106
0.782,-1.074
0.817,-0.447
0.827,-0.271
0.833,-0.147
0.887,0.888
0.904,1.206
0.939,1.842
0.950,2.032
0.973,2.399
0.988,2.616
0.989,2.627
1.001,2.789
1.014,2.946
1.019,2.997
1.033,3.136
1.034,3.139
1.037,3.169
1.071,3.391
1.107,3.461
1.117,3.448
1.121,3.439
1.124,3.431
1.201,2.809
1.230,2.367
1.237,2.258
1.240,2.208
1.240,2.203
1.253,1.956
1.256,1.911
1.278,1.458
1.307,0.816
1.335,0.146
1.347,-0.159
1.353,-0.291
1.367,-0.641
1.377,-0.892
1.389,-1.201
1.397,-1.396
1.399,-1.448
1.402,-1.505
1.418,-1.889
1.455,-2.717
1.483,-3.266
