x,y
-1.383,-0.988
-1.346,-0.942
-1.334,-0.915
-1.320,-0.875
-1.296,-0.794
-1.296,-0.793
-1.253,-0.594
-1.145,0.103
-1.098,0.432
-1.068,0.634
-1.047,0.766
-1.023,0.905
-0.925,1.253
-0.904,1.272
-0.651,-0.074
-0.623,-0.329
-0.616,-0.394
-0.607,-0.477
-0.427,-1.606
-0.312,-1.401
-0.245,-0.905
-0.165,-0.068
-0.049,1.241
0.092,2.094
0.135,2.058
0.155,1.987
0.185,1.824
0.204,1.678
0.227,1.471
0.293,0.692
0.413,-1.071
0.457,-1.679
0.469,-1.823
0.478,-1.923
0.530,-2.421
0.654,-2.557
0.656,-2.545
0.731,-1.839
0.831,-0.189
0.861,0.388
0.866,0.487
0.892,0.983
0.994,2.699
1.014,2.941
1.092,3.453
1.132,3.406
1.163,3.214
1.164,3.208
1.337,0.093
1.382,-1.030
