classes,gill_color,gill_attachment,odor,cap_color
e,w,f,t,e
e,g,f,f,n
e,e,f,t,n
p,h,f,f,g
e,n,f,t,n
p,p,f,t,g
p,p,f,f,y
e,g,f,f,w
p,h,f,f,y
e,g,f,t,y
p,b,f,f,n
p,b,f,f,n
e,k,f,t,y
e,p,f,t,n
e,p,f,f,g
p,b,f,f,n
p,p,f,f,y
e,n,f,t,w
p,b,f,f,n
e,n,f,t,g
p,h,f,f,g
e,p,f,t,e
p,b,f,f,e
e,n,f,t,y
p,u,f,f,g
e,p,f,f,g
e,k,f,f,n
p,p,f,f,g
e,u,f,t,g
e,p,f,t,g
p,b,f,f,n
e,w,f,t,w
p,h,f,f,y
e,w,f,f,c
e,w,f,t,y
p,b,f,f,n
p,b,f,f,n
e,h,f,f,g
e,w,f,f,w
e,n,f,f,g
p,u,f,f,p
e,p,f,t,w
p,h,f,f,y
p,b,f,f,e
e,k,f,f,n
e,n,f,t,y
p,w,f,t,b
p,b,f,f,e
p,p,f,f,y
e,u,f,t,e
e,u,f,t,g
p,n,f,t,n
p,g,f,f,g
e,u,f,t,e
e,g,f,t,w
p,g,f,f,y
p,b,f,f,n
e,w,f,t,n
p,w,f,t,g
e,p,f,f,w
p,b,f,f,n
e,u,f,t,e
e,w,f,t,y
p,b,f,f,e
e,h,f,f,w
p,b,f,f,n
p,p,f,f,y
e,n,f,t,n
p,b,f,f,e
e,k,f,f,g
e,u,f,t,g
p,b,f,f,n
e,w,f,t,e
e,p,f,f,n
p,b,f,f,n
p,g,f,f,y
e,n,f,f,n
e,h,f,f,g
p,g,f,f,y
e,p,f,f,n
p,h,f,f,y
e,w,f,t,n
p,b,f,f,n
e,k,f,t,w
p,h,f,f,g
p,b,f,f,n
e,h,f,f,g
e,u,f,t,e
p,g,f,f,g
p,h,f,f,g
e,n,f,t,g
e,k,f,t,w
p,y,f,f,e
e,o,a,f,n
p,p,f,f,y
p,b,f,f,n
e,k,f,t,w
p,b,f,f,e
p,w,f,t,w
e,n,f,f,g
p,p,f,t,w
e,h,f,f,g
e,n,f,t,n
e,h,f,f,n
p,p,f,t,n
e,p,f,f,w
e,w,f,t,e
e,n,f,f,g
e,n,f,f,n
e,y,a,f,n
e,p,f,t,n
p,b,f,f,e
p,b,f,f,e
e,w,f,f,r
e,h,f,f,w
p,g,f,f,g
p,b,f,f,n
p,p,f,f,y
e,u,f,t,e
e,g,f,t,w
e,n,f,t,n
e,p,f,t,y
p,p,f,t,g
p,h,f,f,y
p,w,f,t,p
e,w,f,f,u
p,b,f,f,n
p,b,f,f,e
p,h,f,t,b
p,b,f,f,e
p,b,f,f,n
e,w,f,t,e
e,u,f,t,n
p,b,f,f,n
e,w,f,t,y
e,k,f,t,w
p,h,f,f,g
e,g,f,f,g
e,u,f,t,n
e,g,f,t,w
p,g,f,f,y
p,p,f,f,y
p,b,f,f,n
e,p,f,t,g
e,w,f,f,w
p,g,f,f,g
e,p,f,f,w
p,y,a,f,c
p,p,f,f,w
p,b,f,f,e
p,b,f,f,n
p,b,f,f,n
p,h,f,f,y
p,n,f,f,w
e,n,f,t,g
p,w,f,f,y
e,e,f,t,n
p,b,f,f,n
p,g,f,f,y
p,p,f,f,y
e,k,f,f,w
e,p,f,f,g
e,n,f,t,y
p,p,f,t,b
e,n,f,t,n
e,g,f,f,g
e,n,f,t,e
e,n,f,t,n
e,p,f,f,g
e,g,f,f,w
e,u,f,t,n
p,h,f,f,g
p,h,f,f,y
p,w,f,t,g
p,n,f,f,p
p,h,f,f,y
e,w,f,f,w
p,g,f,f,g
e,w,f,t,g
e,w,f,t,p
e,w,f,f,w
p,b,f,f,n
p,g,f,f,y
p,g,f,f,g
e,w,f,t,y
p,h,f,f,y
p,b,f,f,e
p,p,f,t,w
e,g,f,f,w
e,g,f,t,w
p,b,f,f,n
e,n,f,t,y
p,b,f,f,n
p,p,f,f,g
p,n,f,t,w
e,p,f,t,n
e,k,f,t,w
e,h,f,f,n
p,w,f,t,b
p,b,f,f,n
e,h,f,f,w
p,w,f,f,y
e,w,f,t,g
e,g,f,f,n
p,w,f,f,y
p,b,f,f,n
e,p,f,t,e
p,b,f,f,e
e,h,f,f,u
e,h,f,f,w
e,p,f,t,y
p,b,f,f,n
e,p,f,t,n
p,g,f,f,g
p,g,f,f,g
e,n,f,f,g
p,b,f,f,e
p,b,f,f,e
p,b,f,f,e
e,n,f,t,e
p,h,f,f,y
e,u,f,t,g
p,p,f,f,g
e,w,f,t,e
e,n,f,t,n
e,k,f,f,g
e,w,f,t,e
e,p,f,t,g
p,h,f,t,w
p,p,f,t,w
p,g,f,f,g
e,g,f,t,w
p,b,f,f,n
e,p,f,t,e
e,n,f,t,y
p,g,f,f,y
e,n,f,t,w
p,g,f,f,y
e,n,f,t,n
p,w,f,t,w
p,g,f,f,y
e,w,f,t,y
e,u,f,t,n
p,u,f,f,p
p,p,f,t,w
p,b,f,f,n
p,p,f,f,y
e,n,f,t,e
e,w,f,t,p
e,w,f,t,n
p,h,f,f,y
p,p,f,f,g
p,b,f,f,n
p,h,f,f,y
e,n,f,f,n
p,b,f,f,n
e,o,a,f,n
p,b,f,f,n
p,p,f,f,y
p,w,f,t,b
p,b,f,f,n
e,n,f,f,n
p,b,f,f,n
e,w,f,t,n
e,k,f,t,y
e,p,f,t,n
e,n,f,t,n
e,u,f,t,n
p,p,f,f,g
e,p,f,t,e
e,w,f,t,y
e,n,f,f,g
p,w,f,t,w
e,w,f,t,e
e,w,f,t,e
p,b,f,f,e
p,b,f,f,n
p,b,f,f,e
e,u,f,t,g
p,h,f,f,g
e,w,f,t,g
e,w,f,f,g
p,b,f,f,n
p,n,f,f,p
e,n,f,f,n
p,h,f,f,g
e,w,f,t,c
e,n,f,f,n
e,w,f,t,n
p,h,f,f,y
e,n,f,f,g
e,w,f,t,y
p,g,f,f,g
p,p,f,t,b
e,g,f,f,w
e,p,f,f,g
p,g,f,f,g
e,u,f,t,n
e,w,f,t,w
p,y,f,f,e
p,b,f,f,e
e,p,f,t,n
p,p,f,t,w
p,b,f,f,n
p,p,f,t,w
p,b,f,f,n
e,w,f,t,n
p,b,f,f,n
e,p,f,f,g
p,g,f,f,g
p,b,f,f,e
e,w,f,t,e
e,n,f,f,w
e,p,f,t,y
p,w,f,t,w
e,g,f,f,g
p,b,f,f,e
e,o,a,f,n
p,b,f,f,e
e,e,f,t,e
p,b,f,f,n
e,p,f,f,g
p,g,f,f,y
p,g,f,f,g
e,n,f,t,e
e,e,f,t,b
p,p,f,f,y
p,g,f,f,g
p,b,f,f,n
p,g,f,f,g
e,w,f,t,g
e,n,f,t,n
p,p,f,t,w
e,p,f,t,n
p,b,f,f,e
e,p,f,t,g
p,g,f,f,g
e,w,f,t,g
e,u,f,t,n
e,p,f,t,g
e,p,f,t,g
e,n,f,t,e
p,b,f,f,e
p,p,f,f,w
e,w,f,t,g
e,w,f,t,n
p,b,f,f,n
p,g,f,f,y
