# The data is quoted from
# https://archive.ics.uci.edu/ml/machine-learning-databases/autos/
price;horsepower;width;height
13495;111;64.1;48.8
16500;111;64.1;48.8
16500;154;65.5;52.4
13950;102;66.2;54.3
17450;115;66.4;54.3
15250;110;66.3;53.1
17710;110;71.4;55.7
18920;110;71.4;55.7
23875;140;71.4;55.9
;160;67.9;52.0
16430;101;64.8;54.3
16925;101;64.8;54.3
20970;121;64.8;54.3
21105;121;64.8;54.3
24565;121;66.9;55.7
30760;182;66.9;55.7
41315;182;67.9;53.7
36880;182;70.9;56.3
5151;48;60.3;53.2
6295;70;63.6;52.0
6575;70;63.6;52.0
5572;68;63.8;50.8
6377;68;63.8;50.8
7957;102;63.8;50.8
6229;68;63.8;50.6
6692;68;63.8;50.6
7609;68;63.8;50.6
8558;102;63.8;50.6
8921;88;64.6;59.8
12964;145;66.3;50.2
6479;58;63.9;50.8
6855;76;63.9;50.8
5399;60;64.0;52.6
6529;76;64.0;52.6
7129;76;64.0;52.6
7295;76;64.0;54.5
7295;76;63.9;58.3
7895;86;65.2;53.3
9095;86;65.2;53.3
8845;86;65.2;54.1
10295;86;62.5;54.1
12945;101;65.2;54.1
10345;100;66.0;51.0
6785;78;61.8;53.5
;70;63.6;52.0
;70;63.6;52.0
11048;90;65.2;51.4
32250;176;69.6;52.8
35550;176;69.6;52.8
36000;262;70.6;47.8
5195;68;64.2;54.1
6095;68;64.2;54.1
6795;68;64.2;54.1
6695;68;64.2;54.1
7395;68;64.2;54.1
10945;101;65.7;49.6
11845;101;65.7;49.6
13645;101;65.7;49.6
15645;135;65.7;49.6
8845;84;66.5;53.7
8495;84;66.5;55.5
10595;84;66.5;53.7
10245;84;66.5;55.5
10795;64;66.5;55.5
11245;84;66.5;55.5
18280;120;66.1;54.4
18344;72;66.1;54.4
25552;123;70.3;56.5
28248;123;70.3;58.7
28176;123;70.3;54.9
31600;123;71.7;56.3
34184;155;71.7;56.5
35056;155;70.5;50.8
40960;184;71.7;56.7
45400;184;72.0;55.4
16503;175;68.0;54.8
5389;68;64.4;50.8
6189;68;64.4;50.8
6669;68;64.4;50.8
7689;102;63.8;50.8
9959;116;65.4;49.4
8499;88;65.4;49.4
12629;145;66.3;50.2
14869;145;66.3;50.2
14489;145;66.3;50.2
6989;88;65.4;51.6
8189;88;65.4;51.6
9279;116;65.4;51.6
9279;116;65.4;51.6
5499;69;63.8;54.5
7099;55;63.8;54.5
6649;69;63.8;54.5
6849;69;63.8;54.5
7349;69;63.8;53.5
7299;69;63.8;54.5
7799;69;63.8;53.3
7499;69;63.8;54.5
7999;69;63.8;53.5
8249;69;63.8;53.3
8949;97;65.2;54.7
9549;97;65.2;54.7
13499;152;66.5;55.1
14399;152;66.5;56.1
13499;152;66.5;55.1
17199;160;67.9;49.7
19699;200;67.9;49.7
18399;160;67.9;49.7
11900;97;68.4;56.7
13200;95;68.4;56.7
12440;97;68.4;58.7
13860;95;68.4;58.7
15580;95;68.4;56.7
16900;95;68.4;56.7
16695;95;68.4;56.7
17075;95;68.4;58.7
16630;97;68.4;56.7
17950;95;68.4;56.7
18150;142;68.3;56.0
5572;68;63.8;50.8
7957;102;63.8;50.8
6229;68;63.8;50.6
6692;68;63.8;50.8
7609;68;63.8;50.8
8921;88;64.6;59.8
12764;145;66.3;50.2
22018;143;68.3;50.2
32528;207;65.0;51.6
34028;207;65.0;51.6
37028;207;65.0;51.6
;288;72.3;50.5
9295;;66.5;55.2
9895;;66.6;50.5
11850;110;66.5;56.1
12170;110;66.5;56.1
15040;110;66.5;56.1
15510;110;66.5;56.1
18150;160;66.5;56.1
18620;160;66.5;56.1
5118;69;63.4;53.7
7053;73;63.6;53.7
7603;73;63.8;55.7
7126;82;65.4;52.5
7775;82;65.4;52.5
9960;94;65.4;52.5
9233;82;65.4;54.3
11259;111;65.4;54.3
7463;82;65.4;53.0
10198;94;65.4;53.0
8013;82;65.4;54.9
11694;111;65.4;54.9
5348;62;63.6;54.5
6338;62;63.6;54.5
6488;62;63.6;54.5
6918;62;63.6;59.1
7898;62;63.6;59.1
8778;62;63.6;59.1
6938;70;64.4;53.0
7198;70;64.4;52.8
7898;56;64.4;53.0
7788;56;64.4;52.8
7738;70;64.4;53.0
8358;70;64.4;52.8
9258;70;64.4;52.8
8058;70;64.0;52.6
8238;70;64.0;52.6
9298;112;64.0;52.6
9538;112;64.0;52.6
8449;116;65.6;52.0
9639;116;65.6;52.0
9989;116;65.6;52.0
11199;116;65.6;52.0
11549;116;65.6;52.0
17669;116;65.6;53.0
8948;92;66.5;54.9
10698;73;66.5;54.9
9988;92;66.5;53.9
10898;92;66.5;54.9
11248;92;66.5;53.9
16558;161;67.7;52.0
15998;161;67.7;52.0
15690;156;66.5;54.1
15750;156;66.5;54.1
7775;52;65.5;55.7
7975;85;65.5;55.7
7995;52;65.5;55.7
8195;85;65.5;55.7
8495;85;65.5;55.7
9495;68;65.5;55.7
9995;100;65.5;55.7
11595;90;64.2;55.6
9980;90;64.0;51.4
13295;110;66.9;55.1
13845;68;66.9;55.1
12290;88;66.9;55.1
12940;114;67.2;56.2
13415;114;67.2;57.5
15985;114;67.2;56.2
16515;114;67.2;57.5
18420;162;67.2;56.2
18950;162;67.2;57.5
16845;114;68.9;55.5
19045;160;68.8;55.5
21485;134;68.9;55.5
22470;106;68.9;55.5
22625;114;68.9;55.5
