CRIM,INDUS,RM,TAX,PTRATIO,LSTAT,MEDV
0.00632,2.31,6.575,296.0,15.3,4.98,24.0
0.02731,7.07,6.421,242.0,17.8,9.14,21.6
0.02729,7.07,7.185,242.0,17.8,4.03,34.7
0.03237,2.18,6.998,222.0,18.7,2.94,33.4
0.06905,2.18,7.147,222.0,18.7,5.33,36.2
0.02985,2.18,6.43,222.0,18.7,5.21,28.7
0.08829,7.87,6.012,311.0,15.2,12.43,22.9
0.14455,7.87,6.172,311.0,15.2,19.15,27.1
0.21124,7.87,5.631,311.0,15.2,29.93,16.5
0.17004,7.87,6.004,311.0,15.2,17.1,18.9
0.22489,7.87,6.377,311.0,15.2,20.45,15.0
0.11747,7.87,6.009,311.0,15.2,13.27,18.9
0.09378,7.87,5.889,311.0,15.2,15.71,21.7
0.62976,8.14,5.949,307.0,21.0,8.26,20.4
0.63796,8.14,6.096,307.0,21.0,10.26,18.2
0.62739,8.14,5.834,307.0,21.0,8.47,19.9
1.05393,8.14,5.935,307.0,21.0,6.58,23.1
0.7842,8.14,5.99,307.0,21.0,14.67,17.5
0.80271,8.14,5.456,307.0,21.0,11.69,20.2
0.7258,8.14,5.727,307.0,21.0,11.28,18.2
1.25179,8.14,5.57,307.0,21.0,21.02,13.6
0.85204,8.14,5.965,307.0,21.0,13.83,19.6
1.23247,8.14,6.142,307.0,21.0,18.72,15.2
0.98843,8.14,5.813,307.0,21.0,19.88,14.5
0.75026,8.14,5.924,307.0,21.0,16.3,15.6
0.84054,8.14,5.599,307.0,21.0,16.51,13.9
0.67191,8.14,5.813,307.0,21.0,14.81,16.6
0.95577,8.14,6.047,307.0,21.0,17.28,14.8
0.77299,8.14,6.495,307.0,21.0,12.8,18.4
1.00245,8.14,6.674,307.0,21.0,11.98,21.0
1.13081,8.14,5.713,307.0,21.0,22.6,12.7
1.35472,8.14,6.072,307.0,21.0,13.04,14.5
1.38799,8.14,5.95,307.0,21.0,27.71,13.2
1.15172,8.14,5.701,307.0,21.0,18.35,13.1
1.61282,8.14,6.096,307.0,21.0,20.34,13.5
0.06417,5.96,5.933,279.0,19.2,9.68,18.9
0.09744,5.96,5.841,279.0,19.2,11.41,20.0
0.08014,5.96,5.85,279.0,19.2,8.77,21.0
0.17505,5.96,5.966,279.0,19.2,10.13,24.7
0.02763,2.95,6.595,252.0,18.3,4.32,30.8
0.03359,2.95,7.024,252.0,18.3,1.98,34.9
0.12744,6.91,6.77,233.0,17.9,4.84,26.6
0.1415,6.91,6.169,233.0,17.9,5.81,25.3
0.15936,6.91,6.211,233.0,17.9,7.44,24.7
0.12269,6.91,6.069,233.0,17.9,9.55,21.2
0.17142,6.91,5.682,233.0,17.9,10.21,19.3
0.18836,6.91,5.786,233.0,17.9,14.15,20.0
0.22927,6.91,6.03,233.0,17.9,18.8,16.6
0.25387,6.91,5.399,233.0,17.9,30.81,14.4
0.21977,6.91,5.602,233.0,17.9,16.2,19.4
0.08873,5.64,5.963,243.0,16.8,13.45,19.7
0.04337,5.64,6.115,243.0,16.8,9.43,20.5
0.0536,5.64,6.511,243.0,16.8,5.28,25.0
0.04981,5.64,5.998,243.0,16.8,8.43,23.4
0.0136,4.0,5.888,469.0,21.1,14.8,18.9
0.01311,1.22,7.249,226.0,17.9,4.81,35.4
0.02055,0.74,6.383,313.0,17.3,5.77,24.7
0.01432,1.32,6.816,256.0,15.1,3.95,31.6
0.15445,5.13,6.145,284.0,19.7,6.86,23.3
0.10328,5.13,5.927,284.0,19.7,9.22,19.6
0.14932,5.13,5.741,284.0,19.7,13.15,18.7
0.17171,5.13,5.966,284.0,19.7,14.44,16.0
0.11027,5.13,6.456,284.0,19.7,6.73,22.2
0.1265,5.13,6.762,284.0,19.7,9.5,25.0
0.01951,1.38,7.104,216.0,18.6,8.05,33.0
0.03584,3.37,6.29,337.0,16.1,4.67,23.5
0.04379,3.37,5.787,337.0,16.1,10.24,19.4
0.05789,6.07,5.878,345.0,18.9,8.1,22.0
0.13554,6.07,5.594,345.0,18.9,13.09,17.4
0.12816,6.07,5.885,345.0,18.9,8.79,20.9
