# Record of running time
Team,Pref,Time
A,Saitama,176.2
A,Saitama,179.1
C,Chiba,180
A,Tokyo,176.5
A,Tokyo,179.7
A,Tokyo,179.3
B,Tokyo,181.1
A,Saitama,180.2
C,Chiba,183.3
A,Saitama,180.3
A,Tokyo,179.9
A,Tokyo,177.1
C,Saitama,181
A,Kanagawa,181.2
A,Saitama,180.2
B,Kanagawa,178.3
A,Kanagawa,178.7
B,Saitama,183.2
B,Saitama,179
C,Chiba,183.1
B,Kanagawa,175
A,Tokyo,181.4
B,Kanagawa,180.4
C,Chiba,183.7
A,Tokyo,179.3
A,Tokyo,180.3
A,Chiba,179.8
B,Tokyo,182.4
A,Kanagawa,179.2
B,Chiba,182.6
B,Tokyo,179.4
C,Tokyo,177.6
A,Chiba,180.2
A,Chiba,182.9
C,Chiba,180.6
C,Saitama,179.5
B,Kanagawa,177.2
A,Tokyo,176.9
C,Kanagawa,182.2
A,Kanagawa,179.3
A,Saitama,175
B,Saitama,179
C,Kanagawa,180.2
B,Tokyo,183.2
B,Chiba,180.1
C,Kanagawa,178.7
A,Tokyo,181
B,Kanagawa,179
B,Saitama,180.8
B,Saitama,177.1
C,Tokyo,182.9
B,Saitama,180.3
B,Kanagawa,180.7
B,Chiba,180
B,Saitama,177.6
A,Chiba,180.6
A,Tokyo,181.7
C,Tokyo,178.8
B,Kanagawa,180.7
A,Tokyo,181.9
