TAX;PTRATIO;LSTAT;MEDV
296.0;15.3;4.98;24.0
242.0;17.8;9.14;21.6
242.0;17.8;4.03;34.7
222.0;18.7;2.94;33.4
222.0;18.7;5.33;36.2
222.0;18.7;5.21;28.7
311.0;15.2;12.43;22.9
311.0;15.2;19.15;27.1
311.0;15.2;29.93;16.5
311.0;15.2;17.1;18.9
311.0;15.2;20.45;15.0
311.0;15.2;13.27;18.9
311.0;15.2;15.71;21.7
307.0;21.0;8.26;20.4
307.0;21.0;10.26;18.2
307.0;21.0;8.47;19.9
307.0;21.0;6.58;23.1
307.0;21.0;14.67;17.5
307.0;21.0;11.69;20.2
307.0;21.0;11.28;18.2
307.0;21.0;21.02;13.6
307.0;21.0;13.83;19.6
307.0;21.0;18.72;15.2
307.0;21.0;19.88;14.5
307.0;21.0;16.3;15.6
307.0;21.0;16.51;13.9
307.0;21.0;14.81;16.6
307.0;21.0;17.28;14.8
307.0;21.0;12.8;18.4
307.0;21.0;11.98;21.0
307.0;21.0;22.6;12.7
307.0;21.0;13.04;14.5
307.0;21.0;27.71;13.2
307.0;21.0;18.35;13.1
307.0;21.0;20.34;13.5
279.0;19.2;9.68;18.9
279.0;19.2;11.41;20.0
279.0;19.2;8.77;21.0
279.0;19.2;10.13;24.7
252.0;18.3;4.32;30.8
252.0;18.3;1.98;34.9
233.0;17.9;4.84;26.6
233.0;17.9;5.81;25.3
233.0;17.9;7.44;24.7
233.0;17.9;9.55;21.2
233.0;17.9;10.21;19.3
233.0;17.9;14.15;20.0
233.0;17.9;18.8;16.6
233.0;17.9;30.81;14.4
233.0;17.9;16.2;19.4
243.0;16.8;13.45;19.7
243.0;16.8;9.43;20.5
243.0;16.8;5.28;25.0
243.0;16.8;8.43;23.4
469.0;21.1;14.8;18.9
226.0;17.9;4.81;35.4
313.0;17.3;5.77;24.7
256.0;15.1;3.95;31.6
284.0;19.7;6.86;23.3
284.0;19.7;9.22;19.6
284.0;19.7;13.15;18.7
284.0;19.7;14.44;16.0
284.0;19.7;6.73;22.2
284.0;19.7;9.5;25.0
216.0;18.6;8.05;33.0
337.0;16.1;4.67;23.5
337.0;16.1;10.24;19.4
345.0;18.9;8.1;22.0
345.0;18.9;13.09;17.4
345.0;18.9;8.79;20.9
305.0;19.2;6.72;24.2
305.0;19.2;9.88;21.7
305.0;19.2;5.52;22.8
305.0;19.2;7.54;23.4
398.0;18.7;6.78;24.1
398.0;18.7;8.94;21.4
398.0;18.7;11.97;20.0
398.0;18.7;10.27;20.8
398.0;18.7;12.34;21.2
398.0;18.7;9.1;20.3
281.0;19.0;5.29;28.0
281.0;19.0;7.22;23.9
281.0;19.0;6.72;24.8
281.0;19.0;7.51;22.9
247.0;18.5;9.62;23.9
247.0;18.5;6.53;26.6
247.0;18.5;12.86;22.5
247.0;18.5;8.44;22.2
270.0;17.8;5.5;23.6
270.0;17.8;5.7;28.7
270.0;17.8;8.81;22.6
270.0;17.8;8.2;22.0
270.0;18.2;8.16;22.9
270.0;18.2;6.21;25.0
270.0;18.2;10.59;20.6
276.0;18.0;6.65;28.4
276.0;18.0;11.34;21.4
276.0;18.0;4.21;38.7
276.0;18.0;3.57;43.8
276.0;18.0;6.19;33.2
384.0;20.9;9.42;27.5
384.0;20.9;7.67;26.5
384.0;20.9;10.63;18.6
384.0;20.9;13.44;19.3
384.0;20.9;12.33;20.1
384.0;20.9;16.47;19.5
384.0;20.9;18.66;19.5
384.0;20.9;14.09;20.4
384.0;20.9;12.27;19.8
384.0;20.9;15.55;19.4
384.0;20.9;13.0;21.7
432.0;17.8;10.16;22.8
432.0;17.8;16.21;18.8
432.0;17.8;17.09;18.7
432.0;17.8;10.45;18.5
432.0;17.8;15.76;18.3
432.0;17.8;12.04;21.2
432.0;17.8;10.3;19.2
432.0;17.8;15.37;20.4
432.0;17.8;13.61;19.3
188.0;19.1;14.37;22.0
188.0;19.1;14.27;20.3
188.0;19.1;17.93;20.5
188.0;19.1;25.41;17.3
188.0;19.1;17.58;18.8
188.0;19.1;14.81;21.4
188.0;19.1;27.26;15.7
437.0;21.2;17.19;16.2
437.0;21.2;15.39;18.0
437.0;21.2;18.34;14.3
437.0;21.2;12.6;19.2
437.0;21.2;12.26;19.6
437.0;21.2;11.12;23.0
437.0;21.2;15.03;18.4
437.0;21.2;17.31;15.6
437.0;21.2;16.96;18.1
437.0;21.2;16.9;17.4
437.0;21.2;14.59;17.1
437.0;21.2;21.32;13.3
437.0;21.2;18.46;17.8
437.0;21.2;24.16;14.0
437.0;21.2;34.41;14.4
403.0;14.7;26.82;13.4
403.0;14.7;26.42;15.6
403.0;14.7;29.29;11.8
403.0;14.7;27.8;13.8
403.0;14.7;16.65;15.6
403.0;14.7;29.53;14.6
403.0;14.7;28.32;17.8
403.0;14.7;21.45;15.4
403.0;14.7;14.1;21.5
403.0;14.7;13.28;19.6
403.0;14.7;12.12;15.3
403.0;14.7;15.79;19.4
403.0;14.7;15.12;17.0
403.0;14.7;15.02;15.6
403.0;14.7;16.14;13.1
403.0;14.7;4.59;41.3
403.0;14.7;6.43;24.3
403.0;14.7;7.39;23.3
403.0;14.7;5.5;27.0
403.0;14.7;1.73;50.0
403.0;14.7;1.92;50.0
403.0;14.7;3.32;50.0
403.0;14.7;11.64;22.7
403.0;14.7;9.81;25.0
403.0;14.7;3.7;50.0
403.0;14.7;12.14;23.8
403.0;14.7;11.1;23.8
403.0;14.7;11.32;22.3
403.0;14.7;14.43;17.4
403.0;14.7;12.03;19.1
296.0;16.6;14.69;23.1
296.0;16.6;9.04;23.6
296.0;16.6;9.64;22.6
296.0;16.6;5.33;29.4
296.0;16.6;10.11;23.2
296.0;16.6;6.29;24.6
296.0;16.6;6.92;29.9
193.0;17.8;5.04;37.2
193.0;17.8;7.56;39.8
193.0;17.8;9.45;36.2
193.0;17.8;4.82;37.9
193.0;17.8;5.68;32.5
193.0;17.8;13.98;26.4
193.0;17.8;13.15;29.6
193.0;17.8;4.45;50.0
398.0;15.2;6.68;32.0
398.0;15.2;4.56;29.8
398.0;15.2;5.39;34.9
398.0;15.2;5.1;37.0
398.0;15.2;4.69;30.5
398.0;15.2;2.87;36.4
265.0;15.6;5.03;31.1
265.0;15.6;4.38;29.1
255.0;14.4;2.97;50.0
329.0;12.6;4.08;33.3
329.0;12.6;8.61;30.3
329.0;12.6;6.62;34.6
402.0;17.0;4.56;34.9
402.0;17.0;4.45;32.9
348.0;14.7;7.43;24.1
348.0;14.7;3.11;42.3
224.0;14.7;3.81;48.5
224.0;14.7;2.88;50.0
277.0;18.6;10.87;22.6
277.0;18.6;10.97;24.4
277.0;18.6;18.06;22.5
277.0;18.6;14.66;24.4
277.0;18.6;23.09;20.0
277.0;18.6;17.27;21.7
277.0;18.6;23.98;19.3
277.0;18.6;16.03;22.4
277.0;18.6;9.38;28.1
277.0;18.6;29.55;23.7
277.0;18.6;9.47;25.0
276.0;16.4;13.51;23.3
276.0;16.4;9.69;28.7
276.0;16.4;17.92;21.5
276.0;16.4;10.5;23.0
307.0;17.4;9.71;26.7
307.0;17.4;21.46;21.7
307.0;17.4;9.93;27.5
307.0;17.4;7.6;30.1
307.0;17.4;4.14;44.8
307.0;17.4;4.63;50.0
307.0;17.4;3.13;37.6
307.0;17.4;6.36;31.6
307.0;17.4;3.92;46.7
307.0;17.4;3.76;31.5
307.0;17.4;11.65;24.3
307.0;17.4;5.25;31.7
307.0;17.4;2.47;41.7
307.0;17.4;3.95;48.3
307.0;17.4;8.05;29.0
307.0;17.4;10.88;24.0
307.0;17.4;9.54;25.1
307.0;17.4;4.73;31.5
300.0;16.6;6.36;23.7
300.0;16.6;7.37;23.3
300.0;16.6;11.38;22.0
300.0;16.6;12.4;20.1
300.0;16.6;11.22;22.2
300.0;16.6;5.19;23.7
