# Weather in Tokyo / 東京の気象データ
# x1: Average of highest temperature (deg) / 日最高気温の平均(℃)
# x2: Sum of precipitation (mm) / 降水量の合計(mm)
# x3: Average of humidity (%) / 平均湿度(％)
# x4: Number of days with highest temperature more than or equal to 25 deg (days) / 日最高気温25℃以上日数(日)
# y1: Total purchase amount of icecream in Japan (yen) / 二人以上の世帯,全国,アイスクリーム・シャーベット【円】
Month,x1,x2,x3,x4,y1
2003-1,9.3,101.0,46,0,331
2003-2,9.9,53.5,52,0,268
2003-3,12.7,159.5,49,0,365
2003-4,19.2,121.0,61,3,492
2003-5,22.4,172.5,65,7,632
2003-6,26.6,85.0,69,21,730
2003-7,26.0,187.5,75,21,821
2003-8,29.5,370.0,73,26,1057
2003-9,28.1,150.0,66,23,724
2003-10,21.4,171.5,59,3,430
2003-11,17.4,229.5,67,0,363
2003-12,13.2,53.0,50,0,415
2004-1,10.1,3.5,43,0,351
2004-2,12.9,20.0,45,0,322
2004-3,14.0,129.5,53,0,367
2004-4,21.3,69.5,51,3,508
2004-5,23.7,149.0,67,13,667
2004-6,27.5,112.5,66,24,772
2004-7,33.1,23.5,62,31,1148
2004-8,31.0,79.5,65,28,1080
2004-9,28.7,195.0,68,26,653
2004-10,20.7,780.0,69,3,434
2004-11,19.0,108.5,60,0,358
2004-12,13.4,79.5,49,0,388
2005-1,10.0,77.0,47,0,323
2005-2,9.9,48.0,45,0,283
2005-3,13.1,71.0,49,0,357
2005-4,19.6,81.0,54,2,543
2005-5,21.9,180.5,58,6,667
2005-6,26.7,170.5,70,22,812
2005-7,29.1,247.5,71,27,1037
2005-8,31.8,189.5,68,31,1179
2005-9,28.2,177.5,67,24,739
2005-10,22.3,201.5,69,7,453
2005-11,17.0,34.5,52,0,315
2005-12,10.2,3.5,39,0,359
2006-1,8.5,67.0,44,0,322
2006-2,10.5,113.0,53,0,279
2006-3,14.0,79.5,48,0,373
2006-4,17.5,123.0,57,0,457
2006-5,22.7,99.0,65,7,602
2006-6,25.4,138.5,71,15,748
2006-7,28.6,165.0,74,26,973
2006-8,31.1,126.0,69,31,1193
2006-9,27.1,175.5,68,20,654
2006-10,22.9,318.0,66,9,493
2006-11,17.9,135.0,59,0,336
2006-12,12.5,200.5,52,0,392
2007-1,10.9,42.0,45,0,347
2007-2,12.8,57.0,45,0,292
2007-3,15.0,77.0,44,0,387
2007-4,17.9,134.0,59,1,466
2007-5,24.0,115.5,58,13,652
2007-6,27.1,80.0,66,23,768
2007-7,27.4,253.0,74,26,908
2007-8,33.0,9.5,66,31,1279
2007-9,28.5,319.5,71,25,784
2007-10,22.2,135.5,63,4,469
2007-11,16.6,37.0,56,0,324
2007-12,12.6,72.0,54,0,405
2008-1,9.4,17.5,45,0,346
2008-2,9.6,57.0,41,0,288
2008-3,14.9,119.5,52,0,404
2008-4,18.4,240.0,59,1,501
2008-5,22.0,255.0,65,8,689
2008-6,24.6,225.5,72,15,727
2008-7,30.9,48.0,71,31,1182
2008-8,30.7,387.5,74,28,1190
2008-9,27.7,158.5,69,25,691
2008-10,22.6,204.5,66,1,477
2008-11,16.4,74.0,56,0,355
2008-12,13.7,70.5,53,0,414
2009-1,10.2,142.0,48,0,351
2009-2,11.5,46.5,50,0,303
2009-3,13.7,98.5,48,0,386
2009-4,20.2,162.5,54,1,569
2009-5,23.6,242.0,64,9,768
2009-6,25.8,226.0,72,16,819
2009-7,29.3,78.5,72,28,1072
2009-8,30.1,242.0,69,30,1215
2009-9,26.5,53.0,64,21,723
2009-10,22.3,276.5,64,5,495
2009-11,17.0,151.5,63,1,402
2009-12,12.4,82.5,51,0,440
2010-1,11.0,9.0,41,0,362
2010-2,9.9,115.0,60,0,305
2010-3,13.2,143.5,61,0,383
2010-4,16.6,214.0,62,1,464
2010-5,23.0,114.0,60,8,752
2010-6,27.5,108.0,67,24,841
2010-7,31.6,70.0,70,31,1211
2010-8,33.5,27.0,67,31,1451
2010-9,29.0,428.0,68,22,864
2010-10,21.8,211.0,68,6,504
2010-11,17.2,94.5,56,0,351
2010-12,13.7,145.5,50,0,423
2011-1,9.1,3.5,36,0,346
2011-2,11.2,151.0,52,0,289
2011-3,12.3,74.0,47,0,329
2011-4,18.9,96.0,50,0,462
2011-5,22.2,213.5,63,8,672
2011-6,26.0,116.5,71,15,791
2011-7,30.9,54.5,67,29,1265
2011-8,31.2,244.0,71,29,1241
2011-9,28.8,235.0,68,23,767
2011-10,23.0,119.5,61,9,516
2011-11,18.3,112.5,58,0,393
2011-12,11.1,59.5,48,0,423
2012-1,8.3,50.0,43,0,339
2012-2,9.1,94.0,49,0,274
2012-3,12.5,144.5,59,0,385
2012-4,18.5,118.5,63,1,524
2012-5,23.6,231.0,65,12,671
2012-6,24.8,185.0,73,15,798
2012-7,30.1,130.0,75,27,1165
2012-8,33.1,25.0,69,31,1332
2012-9,29.8,214.5,73,27,849
2012-10,23.0,154.5,65,9,515
2012-11,16.3,154.0,58,0,326
2012-12,11.2,69.0,52,0,414
