content,target,target_names
" From article <C5owCB.n3p@world.std.com>, by tombaker@world.std.com (Tom A Baker): >>In article <C5JLwx.4H9.1@cs.cmu.edu>, ETRAT@ttacs1.ttu.edu (Pack Rat) writes... >>>""Clear caution & warning memory.  Verify no unexpected >>>errors. ..."".  I am wondering what an ""expected error"" might >>>be.  Sorry if this is a really dumb question, but >  > Parity errors in memory or previously known conditions that were waivered. >    ""Yes that is an error, but we already knew about it"" > Id be curious as to what the real meaning of the quote is. >  > tom   My understanding is that the expected errors are basically known bugs in the warning system software - things are checked that dont have the right values in yet because they arent set till after launch, and suchlike. Rather than fix the code and possibly introduce new bugs, they just tell the crew ok, if you see a warning no. 213 before liftoff, ignore it.   - Jonathan   ",1,sci.space
" In article <1993Apr23.184732.1105@aio.jsc.nasa.gov>, kjenks@gothamcity.jsc.nasa.gov writes...     {Description of ""External Tank"" option for SSF redesign deleted}  >Mark proposed this design at Joe Sheas committee in Crystal City, >and he reports that he was warmly received.  However, the rumors >I hear say that a design based on a wingless Space Shuttle Orbiter >seems more likely.  Yo Ken, lets keep on-top of things! Both the ""External Tank"" and ""Wingless Orbiter"" options have been deleted from the SSF redesign options list. Todays (4/23) edition of the New York Times reports that OConnor told the panel that some redesign proposals have been dropped, such as using the ""giant external fuel tanks used in launching space shuttles,"" and building a ""station around an existing space shuttle with its wings and tail removed.""  Currently, there are three options being considered, as presented to the advisory panel meeting yesterday (and as reported in todays Times).  Option ""A"" - Low Cost Modular Approach This option is being studied by a team from MSFC. {As an aside, there are SSF redesign teams at MSFC, JSC, and LaRC supporting the SRT (Station Redesign Team) in Crystal City. Both LeRC and Reston folks are also on-site at these locations, helping the respective teams with their redesign activities.} Key features of this option  -  Uses ""Bus-1"", a modular bus developed by Lockheed thats      qualified for STS and ELVs. The bus provides propulsion, GN&C      Communications, & Data Management. Lockheed developed this      for the Air Force.   -  A ""Power Station Capability"" is obtained in 3 Shuttle Flights.      SSF Solar arrays are used to provide 20 kW of power. The vehicle      flies in an ""arrow mode"" to optimize the microgravity environment.      Shuttle/Spacelab missions would utilize the vehilce as a power      source for 30 day missions.   -  Human tended capability (as opposed to the old SSF sexist term      of man-tended capability) is achieved by the addition of the      US Common module. This is a modified version of the existing      SSF Lab module (docking ports are added for the International      Partners labs, taking the place of the nodes on SSF). The      Shuttle can be docked to the station for 60 day missions.      The Orbiter would provide crew habitability & EVA capability.   -  International Human Tended. Add the NASDA & ESA modules, and      add another 20 kW of power   -  Permanent Human Presence Capability. Add a 3rd power module,      the U.S. habitation module, and an ACRV (Assured Crew Return      Vehicle).  Option ""B"" - Space Station Freedom Derived The Option ""B"" team is based at LaRC, and is lead by Mike Griffin. This option looks alot like the existing SSF design, which we have all come to know and love :)  This option assumes a lightweight external tank is available for use on all SSF assembly flights (so does option ""A""). Also, the  number of flights is computed for a 51.6 inclination orbit, for both options ""A"" and ""B"".  The build-up occurs in six  -  Initial Research Capability reached after 3 flights. Power      is transferred from the vehicle to the Orbiter/Spacelab, when      it visits.   -  Man-Tended Capability (Griffin has not yet adopted non-sexist      language) is achieved after 8 flights. The U.S. Lab is      deployed, and 1 solar power module provides 20 kW of power.   -  Permanent Human Presence Capability occurs after 10 flights, by      keeping one Orbiter on-orbit to use as an ACRV (so sometimes      there would be two Orbiters on-orbit - the ACRV, and the      second one that comes up for Logistics & Re-supply).   -  A ""Two Fault Tolerance Capability"" is achieved after 14 flights,      with the addition of a 2nd power module, another thermal      control system radiator, and more propulsion modules.   -  After 20 flights, the Internationals are on-board. More power,      the Habitation module, and an ACRV are added to finish the      assembly in 24 flights.  Most of the systems currently on SSF are used as-is in this option,  with the exception of the data management system, which has major changes.  Option C - Single Core Launch Station. This is the JSC lead option. Basically, you take a 23 ft diameter cylinder thats 92 ft long, slap 3 Space Shuttle Main Engines on the backside, put a nose cone on the top, attached it to a  regular shuttle external tank and a regular set of solid rocket motors, and launch the can. Some key features  - Complete end-to-end ground integration and checkout   - 4 tangentially mounted fixed solar panels   - body mounted radiators (which adds protection against     micrometeroid & orbital debris)   - 2 centerline docking ports (one on each end)   - 7 berthing ports   - a single pressurized volume, approximately 26,000 cubic feet     (twice the volume of skylab).   - 7 floors, center passageway between floors   - 10 kW of housekeeping power   - graceful degradation with failures (8 power channels, 4 thermal     loops, dual environmental control & life support system)   - increased crew time for utilization   - 1 micro-g thru out the core module ",1,sci.space
"  What is the EXACT entry (parameter and syntax please), in the X-Terminal configuration file (loaded when the X-Terminal boots), to add another system  to the TCP/IP access control list?  I have two unix systems, 1. an AT&T 3B2 running X11R3 and MITs X11R4 and  2. a Sun SS10 without any X.     I want to have a window to the Sun and the 3B2 on the NCD X-Terminal at the same time.  I can do this if I manually set the Network Parameter TCP/IP Access Control List to off, then login to my telnet session. Not Great!     Ive tried to get ""xhost"" to work and failed.  Either my syntax is wrong or the X11R3 implementation is bogus.     I am trying to edit the NCD configuration file that is loaded when the  NCD boots.  No matter what entry I add or edit, the NCD still boots with the TCP/IP Access Control list containing only the 3B2.   My manuals are worthless so any help would be most appreciated!!  Thanks!  Ann Marie Barden  	abarden@afseo.eglin.af.mil ",2,comp.windows.x
" In article <1993Apr20.151818.4319@samba.oit.unc.edu> Scott.Marks@launchpad.unc.edu (Scott Marks)>>And of course, Mike Ramsey was (at one time) the captain in Buffalo prior to >>being traded to Pittsburgh.  Currently, the Penguins have 3 former captains >>and 1 real captain (Lemieux) playing for them.  They rotate the As during the >>season (and even the C while Mario was out).  Even Troy Loney has worn the C >>for the Pens. >  I think that Mike Foligno was the captain of the Sabres when he got traded to the Leafs. Also, wasnt Rick Vaive the captain of the Leafs when he got traded to Chicago (with Steve Thomas for Ed Olcyzk and someone). Speaking of the Leafs, I believe that Darryl Sittler was their captain (hed torn the ""C"" off his jersey but I think he re-claimed the captaincy later on) when he was traded to the Flyers.  Oh yeah, of course, Gretzky was the captain of the Oilers before he was traded wasnt he?   Gary ",0,rec.sport.hockey
" In article <120666@netnews.upenn.edu> kkeller@mail.sas.upenn.edu (Keith Keller)>My vote goes to John Vanbiesbrouck.  His mask has a skyline of New York >City, and on the sides there are a bunch of bees (Beezer).  It looks >really sharp.  Funny you should mention this; one time on HNIC Don Cherry pointed out Vanbiesbroucks mask.  He _hated_ it.  I think he said something to the effect""You see?  He was great last year; now he goes out and gets that dopey mask  and he cant stop a beachball!""  You may or may not take Cherry seriously at all, but I cracked up when I heard it.  I think Ed Belfour has the current best mask in the NHL btw.  I also like Moogs, and Ill give Fuhrs new one an honourable mention, although I havent seen it closely yet (it looked good from a distance!).  Whats also neat is Chevaldaes in Detroit; they call him ""Chevy"" so he has two checkered flags painted at the top as in an auto race.   ",0,rec.sport.hockey
" Pat sez; >Oddly, enough,  The smithsonian calls the lindbergh years >the golden age of flight.  I would call it the granite years, >reflecting the primitive nature of it.  It was  romantic, >swashbuckling daredevils,  ""those daring young men in their flying >machines"".  But in reality, it sucked.  Death was a highly likely >occurence,  and  the environment blew.  Yeah, but a windscreen cut down most of it.  Canopies ended it completely.  Of course, the environment in space continues to suck :-)  -Tommy Mac ------------------------------------------------------------------------- Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases, 18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows. ------------------------------------------------------------------------- ",1,sci.space
" I am trying to write an image display program that uses the MIT shared memory extension.  The shared memory segment gets allocated and attached to the process with no problem. But the program crashes at the first call to XShmPutImage, with the following X Error of failed  Major opcode of failed  Minor opcode of failed  Segment id in failed request 0x0   Serial number of failed  Current serial number in output Like I said, I did error checking on all the calls to shmget and shmat that are necessary to create the shared memory segment, as well as checking XShmAttach.  There are no problems.  If anybody has had the same problem or has used MIT-SHM without having the same problem, please let me know.  By the way, I am running OpenWindows 3.0 on a Sun Sparc2.  Thanks in advance-- John C.   ",2,comp.windows.x
 In article <93106.092246DLMQC@CUNYVM.BITNET> Harold Zazula <DLMQC@CUNYVM.BITNET>>I was watching the Detroit-Minnesota game last night and thought I saw an >octopus on the ice after Ysebaert scored to tie the game at two. What gives?  No no no!!!  Its a squid!  Keep the tradition alive!  (Kinda like the fish at UNH games....)  >(is there some custom to throw octopuses on the ice in Detroit?) >------- >Not Responsible -- Dain Bramaged!! > >Harold Zazula >dlmqc@cunyvm.cuny.edu >hzazula@alehouse.acc.qc.edu   ,0,rec.sport.hockey
" UPCOMING PLANETARY PROBES - MISSIONS AND SCHEDULES      Information on upcoming or currently active missions not mentioned below     would be welcome.    team, ISAS/NASDA launch schedules, press kits.       ASUKA (ASTRO-D) - ISAS (Japan) X-ray astronomy satellite, launched into     Earth orbit on 2/20/93. Equipped with large-area wide-wavelength (1-20     Angstrom) X-ray telescope, X-ray CCD cameras, and imaging gas     scintillation proportional counters.       CASSINI - Saturn orbiter and Titan atmosphere probe. Cassini is a joint     NASA/ESA project designed to accomplish an exploration of the Saturnian     system with its Cassini Saturn Orbiter and Huygens Titan Probe. Cassini     is scheduled for launch aboard a Titan IV/Centaur in October of 1997.     After gravity assists of Venus, Earth and Jupiter in a VVEJGA     trajectory, the spacecraft will arrive at Saturn in June of 2004. Upon     arrival, the Cassini spacecraft performs several maneuvers to achieve an     orbit around Saturn. Near the end of this initial orbit, the Huygens     Probe separates from the Orbiter and descends through the atmosphere of     Titan. The Orbiter relays the Probe data to Earth for about 3 hours     while the Probe enters and traverses the cloudy atmosphere to the     surface. After the completion of the Probe mission, the Orbiter     continues touring the Saturnian system for three and a half years. Titan     synchronous orbit trajectories will allow about 35 flybys of Titan and     targeted flybys of Iapetus, Dione and Enceladus. The objectives of the     mission are    rings and magnetosphere; conduct close-up studies of Saturns     satellites, and characterize Titans atmosphere and surface.      One of the most intriguing aspects of Titan is the possibility that its     surface may be covered in part with lakes of liquid hydrocarbons that     result from photochemical processes in its upper atmosphere. These     hydrocarbons condense to form a global smog layer and eventually rain     down onto the surface. The Cassini orbiter will use onboard radar to     peer through Titans clouds and determine if there is liquid on the     surface. Experiments aboard both the orbiter and the entry probe will     investigate the chemical processes that produce this unique atmosphere.      The Cassini mission is named for Jean Dominique Cassini (1625-1712), the     first director of the Paris Observatory, who discovered several of     Saturns satellites and the major division in its rings. The Titan     atmospheric entry probe is named for the Dutch physicist Christiaan     Huygens (1629-1695), who discovered Titan and first described the true     nature of Saturns rings.  	 Key Scheduled Dates for the Cassini Mission (VVEJGA Trajectory) 	 ------------------------------------------------------------- 	   10/06/97 - Titan IV/Centaur Launch 	   04/21/98 - Venus 1 Gravity Assist 	   06/20/99 - Venus 2 Gravity Assist 	   08/16/99 - Earth Gravity Assist 	   12/30/00 - Jupiter Gravity Assist 	   06/25/04 - Saturn Arrival 	   01/09/05 - Titan Probe Release 	   01/30/05 - Titan Probe Entry 	   06/25/08 - End of Primary Mission 	    (Schedule last updated 7/22/92)       GALILEO - Jupiter orbiter and atmosphere probe, in transit. Has returned     the first resolved images of an asteroid, Gaspra, while in transit to     Jupiter. Efforts to unfurl the stuck High-Gain Antenna (HGA) have     essentially been abandoned. JPL has developed a backup plan using data     compression (JPEG-like for images, lossless compression for data from     the other instruments) which should allow the mission to achieve     approximately 70% of its original objectives.  	   Galileo Schedule 	   ---------------- 	   10/18/89 - Launch from Space Shuttle 	   02/09/90 - Venus Flyby 	   10/**/90 - Venus Data Playback 	   12/08/90 - 1st Earth Flyby 	   05/01/91 - High Gain Antenna Unfurled 	   07/91 - 06/92 - 1st Asteroid Belt Passage 	   10/29/91 - Asteroid Gaspra Flyby 	   12/08/92 - 2nd Earth Flyby 	   05/93 - 11/93 - 2nd Asteroid Belt Passage 	   08/28/93 - Asteroid Ida Flyby 	   07/02/95 - Probe Separation 	   07/09/95 - Orbiter Deflection Maneuver 	   12/95 - 10/97 - Orbital Tour of Jovian Moons 	   12/07/95 - Jupiter/Io Encounter 	   07/18/96 - Ganymede 	   09/28/96 - Ganymede 	   12/12/96 - Callisto 	   01/23/97 - Europa 	   02/28/97 - Ganymede 	   04/22/97 - Europa 	   05/31/97 - Europa 	   10/05/97 - Jupiter Magnetotail Exploration       HITEN - Japanese (ISAS) lunar probe launched 1/24/90. Has made     multiple lunar flybys. Released Hagoromo, a smaller satellite,     into lunar orbit. This mission made Japan the third nation to     orbit a satellite around the Moon.       MAGELLAN - Venus radar mapping mission. Has mapped almost the entire     surface at high resolution. Currently (4/93) collecting a global gravity     map.       MARS OBSERVER - Mars orbiter including 1.5 m/pixel resolution camera.     Launched 9/25/92 on a Titan III/TOS booster. MO is currently (4/93) in     transit to Mars, arriving on 8/24/93. Operations will start 11/93 for     one martian year (687 days).       TOPEX/Poseidon - Joint US/French Earth observing satellite, launched     8/10/92 on an Ariane 4 booster. The primary objective of the     TOPEX/POSEIDON project is to make precise and accurate global     observations of the sea level for several years, substantially     increasing understanding of global ocean dynamics. The satellite also     will increase understanding of how heat is transported in the ocean.       ULYSSES- European Space Agency probe to study the Sun from an orbit over     its poles. Launched in late 1990, it carries particles-and-fields     experiments (such as magnetometer, ion and electron collectors for     various energy ranges, plasma wave radio receivers, etc.) but no camera.      Since no human-built rocket is hefty enough to send Ulysses far out of     the ecliptic plane, it went to Jupiter instead, and stole energy from     that planet by sliding over Jupiters north pole in a gravity-assist     manuver in February 1992. This bent its path into a solar orbit tilted     about 85 degrees to the ecliptic. It will pass over the Suns south pole     in the summer of 1993. Its aphelion is 5.2 AU, and, surprisingly, its     perihelion is about 1.5 AU-- thats right, a solar-studies spacecraft     thats always further from the Sun than the Earth is!      While in Jupiters neigborhood, Ulysses studied the magnetic and     radiation environment. For a short summary of these results, see     *Science*, V. 257, p. 1487-1489 (11 September 1992). For gory technical     detail, see the many articles in the same issue.       OTHER SPACE SCIENCE MISSIONS (    Baalke in 11/89, with ISAS/NASDA information contributed by Yoshiro     Yamada (yamada@yscvax.ysc.go.jp). Im attempting to track changes based     on updated shuttle manifests; corrections and updates are welcome.      1993 Missions 	o ALEXIS [spring, Pegasus] 	    ALEXIS (Array of Low-Energy X-ray Imaging Sensors) is to perform 	    a wide-field sky survey in the ""soft"" (low-energy) X-ray 	    spectrum. It will scan the entire sky every six months to search 	    for variations in soft-X-ray emission from sources such as white 	    dwarfs, cataclysmic variable stars and flare stars. It will also 	    search nearby space for such exotic objects as isolated neutron 	    stars and gamma-ray bursters. ALEXIS is a project of Los Alamos 	    National Laboratory and is primarily a technology development 	    mission that uses astrophysical sources to demonstrate the 	    technology. Contact project investigator Jeffrey J Bloch 	    (jjb@beta.lanl.gov) for more information.  	o Wind [Aug, Delta II rocket] 	    Satellite to measure solar wind input to magnetosphere.  	o Space Radar Lab [Sep, STS-60 SRL-01] 	    Gather radar images of Earths surface.  	o Total Ozone Mapping Spectrometer [Dec, Pegasus rocket] 	    Study of Stratospheric ozone.  	o SFU (Space Flyer Unit) [ISAS] 	    Conducting space experiments and observations and this can be 	    recovered after it conducts the various scientific and 	    engineering experiments. SFU is to be launched by ISAS and 	    retrieved by the U.S. Space Shuttle on STS-68 in 1994.      1994 	o Polar Auroral Plasma Physics [May, Delta II rocket] 	    June, measure solar wind and ions and gases surrounding the 	    Earth.  	o IML-2 (STS) [NASDA, Jul 1994 IML-02] 	    International Microgravity Laboratory.  	o ADEOS [NASDA] 	    Advanced Earth Observing Satellite.  	o MUSES-B (Mu Space Engineering Satellite-B) [ISAS] 	    Conducting research on the precise mechanism of space structure 	    and in-space astronomical observations of electromagnetic waves.      1995 	LUNAR-A [ISAS] 	    Elucidating the crust structure and thermal construction of the 	    moons interior.       Proposed	o Advanced X-ray Astronomy Facility (AXAF) 	    Possible launch from shuttle in 1995, AXAF is a space 	    observatory with a high resolution telescope. It would orbit for 	    15 years and study the mysteries and fate of the universe.  	o Earth Observing System (EOS) 	    Possible launch in 1997, 1 of 6 US orbiting space platforms to 	    provide long-term data (15 years) of Earth systems science 	    including planetary evolution.  	o Mercury Observer 	    Possible 1997 launch.  	o Lunar Observer 	    Possible 1997 launch, would be sent into a long-term lunar 	    orbit. The Observer, from 60 miles above the moons poles, would 	    survey characteristics to provide a global context for the 	    results from the Apollo program.  	o Space Infrared Telescope Facility 	    Possible launch by shuttle in 1999, this is the 4th element of 	    the Great Observatories program. A free-flying observatory with 	    a lifetime of 5 to 10 years, it would observe new comets and 	    other primitive bodies in the outer solar system, study cosmic 	    birth formation of galaxies, stars and planets and distant 	    infrared-emitting galaxies  	o Mars Rover Sample Return (MRSR) 	    Robotics rover would return samples of Mars atmosphere and 	    surface to Earch for analysis. Possible launch	    imaging orbiter, 2001 for rover.  	o Fire and Ice 	    Possible launch in 2001, will use a gravity assist flyby of 	    Earth in 2003, and use a final gravity assist from Jupiter in 	    2005, where the probe will split into its Fire and Ice	    measurements of our stars upper atmosphere until it is 	    vaporized by the intense heat. The Ice probe will head out 	    towards Pluto, reaching the tiny world for study by 2016.",1,sci.space
" Mark D. Collier (mark@trident.datasys.swri.edu): Does anyone know what is available in terms of automated testing : of X/Motif applications. I am thinking of a system which I could : program (or which could record events/output) with our verification : test procedures and then run/rerun each time we do regression : testing. I am interested in a product like this for our UNIX : projects and for a separate project which will be using OpenVMS.  A question like this is answered in the FAQ, about sharing X windows. One of the answers is XTrap, a record and playback extenstion to X.  You can find it at Does anyone know of a program which doesnt require an X extension?  Most the the X servers we have at work have vendor extensions which we cant modify, so XTrap doesnt help up.  There is X conferencing software at mit, but I dont know how easy it would be to modify it to do record and playback.  Any help would be appreciated. -- +-------------------+----------------------------+------------------------+ | Bill Poitras      | Molecular Simulations Inc. | Tel (408)522-9229      | | bill@msi.com      | Sunnyvale, CA 94086-3522   | FAX (408)732-0831      | +-------------------+----------------------------+------------------------+ |FTP Mail           |mail ftpmail@decwrl.dec.com ||                   |+-------------------------------------------------------------------------+ ",2,comp.windows.x
