category,text
baseball,"  The Orioles' pitching staff again is having a fine exhibition season. Four shutouts, low team ERA, (Well, I haven't gotten any baseball news since March 14 but anyways) Could they contend, yes. Could they win it all?  Maybe.  But for all those fans of teams with bad spring records, remember Earl Weaver's first law of baseball (From his book on managing)  No one gives a damn in July if you lost a game in March. :)  BTW, anyone have any idea on the contenders for the O's fifth starter? It's pretty much set that Sutcliffe, Mussina, McDonald and Rhodes are the first four in the rotation.  Here at Johns Hopkins University where the mascot is the Blue Jay :(, their baseball team logo was the Toronto club's logo. Now it's a  anatomically correct blue jay. God, can't they think of an original idea? It's even in the same pose as the baltimore oriole on the O's hats. How many people realize that the bird is really called a baltimore oriole?"
baseball,"  I agree and disagree.  John is saying that the batters efforts will result in 4 more wins then losses.  While you are probably correct that 400% does not mean 4 more wins then losses, it means something.  I would rather have a player who increased my teams chances of winning by 1% in each of 400 PAs then I would a player who increased my chances of winning by .5% in each of 400 PAs.  Thus, there appears to me to be an obvious positive association between John's statistic and winning games.  Thus, before you disregard this stat, it appears to me that further study must go into what sort of relationship there is.   The only problem here is an insistance that these number mean exactly how many wins the team has.  First, we are using averages over many seasons and applying them to one game.  Second, remember some players performance take away from the chance of you winning.  That is a player who gets an out gets a ""negative probability"" in most cases. Thus, I'm not sure in any given game when you add up all the numbers for a team who won that they will add up to 1 in that game.  Sometimes, they will add up to more then one sometime, less than one.  Also, the pitchers' bad performances (giving up 6 runs) may have given them a large negative percentage for that game.  Also, any batter that pulled an 0-4 night would give large negatives.       No, but really only because you have a smaller sample size.  I would think however, that the number of runs you score in the first inning would be just as good as a prediction as how many runs you score  in the last inning.  And, realize something else a closer usually comes in in a close situation, not a blow out.  It is hard to argue that any runs that a closer gives up in a game have equal importance to those given up in the first inning.  Look, a closer giving up runs often means a team will lose many games.  On, the other hand a starter who gives up runs often still leaves his team a chance to win.  The offence has many more outs to do something about.  But, I am not saying all late inning situations are equally important either.  If I am down 8 runs in the ninth, it really does not matter how many runs my pitcher gives up in the ninth.           No, but why would you assume that the teams probability of winning would be 0 before the possesion in which the free throws were made.  Look, if you are down 1 point with 5 seconds left, there is a fairly high probability that you will win the game if you are in possesion of the ball.  And, do not forget that somebody elses missed shots, turnovers, fouls, bad defense, etc. caused a ""negative chance"" that the team would win.   From reading all of the discussion on this statistic, I feel that those who critisize it to a certain extent are doing so out of an agenda. At first look this statistic valadates clutchness.  But, it really does not.  Cluthness revolves around the idea that certain players in crucial situation elevate their performance and others performance goes down.  I've never seen convincing proof that this really happens. So, if you assume there is no clutchness, then that means that except for a lot of noice, this statistic has a positive association to player performance.  There is a way to get rid of the noice if you do not believe in clutchness.  Certainly, we could find out what the average value of a home run is for example.  We may find for instance, that a home run increases your chance of winning by 15% on average while a strikeout decreases your chance of winning by 5%. I bet if this were done we would find that this statistic was just as good as other statistics we have for predicting wins and losses.  How do we evaluate relief pitchers?  Say John and Sam have the exact same pitching statistics (runs, earned runs, K's, BB's, etc.)  Both had exceptional numbers.  John, however only pitched in closer situations, while Sam was a Mop up man.  Who was more valuble to their team?  Probably John.  Who was the better  pitcher?  They were probably about the same.                                                          Brian Smith "
baseball," Hell, the Orioles' Opening Day game could easily be the largest in history if we had a stadium with 80,000 seats. But unfortunely the Yards (a definitely excellent ballpark) only holds like 45,000 with 275 SRO spots. Ticket sales for the entire year is moving fast. Bleacher seats are almost gone for every game this year. It's a extremely likelyhood that the O's could sell out every game this year (especially if we lead the division for most of the year like '89).   On another front, the sale of the Orioles to anyone is likely to be forced upon Eli Jacobs who is major debt apparently. Maybe we can get an owner willing to spend on a proven rightfielder free agent in the winter.  Fernando has made the O's as the fifth starter. The O's pitching staff looks pretty good. Sutcliffe, Mussina, McDonald, Rhodes, and Fernando.  Baltimore is my pick for the victors in a very competitive AL East."
baseball," There's a lot of whining about how much players are overpaid.  I thought I'd put together an underpaid team that could win a pennant.  I splurged and let four of the players earn as much as half a million dollars; the highest-paid player is Frank Thomas, at $900K.  I cut some players, like Kenny Lofton, Chris Hoiles, Keith Mitchell, Tim Wakefield, and a bunch of pitchers, all of whom could have arguably made the team better at a cost of $1 million for the lot of them.  The total team salary is  $7,781,500, averaging slightly over $300K a player.  If that's too steep, you can dump Thomas and Bagwell, replacing them with Paul Sorrento and a minimum wager to save a bit over a million dollars, and still have one of the best teams in the majors.  p, Juan Guzman, 500 p, Mussina, 400 p, Castillo,    250 p, Eldred,      175 p, Rhodes, 155 p, Militello,   118 rp, Rojas, 300 rp, Beck, 250 rp, Melendez,   235 rp, Hernandez, 185 rp, Nied, 150 c, Rodriguez, 275 c, Piazza,      126 1b, Thomas, 900 1b, Bagwell,    655 2b, Knoblauch, 500 2b, Barberie, 190 3b, Gomez, 312.5 3b, Palmer, 250 ss, Listach, 350 ss, Pena, 170 lf, Gonzalez, 525 cf, Lankford, 290 rf, R.Sanders, 275 of, Plantier, 245"
baseball,"  I doubt Henderson would clear waivers.  And if he did, he would instantly be signed for the major league minimum, with Oakland picking up the remaining $3 million tab.  Some GMs value on-field performance too...  -Valentine "
baseball, Giants Win the Pennant!!  Giants Win the Pennant !! Gi... OOOPS I guess I'm a little early here... See you in October...  
baseball," Add Mike Trombley in there somewhere, since they need five people.  Mark Guthrie will remain in the bullpen as the long lefty.  Pags and Terry Jorgenson will platoon at third, with Reboulet as the backup infielder.  Pags looked pretty miserable yesterday for a guy who lead the league in DA in 1991, muffing what should be routine grounders (heck, muffing a grounder *I* would probably have gotten to).  Jorgenson did nothing exceptional that I noticed.  Leius missed a ball I *think* Gagne would have reached; we will certainly miss Gag's glove this season.  He looked pretty good there.  Contrary to what the mediots have been saying, he looked reasonable at first.  He isn't mid-80s Hrbek, but then neither is the Pretty Big Guy himself any more (note:  I'm used to seeing the Twins 1B looking kinda big on the field, but not that big!).  If he hits vaguely like last year, he's a perfectly good first baseman.  Note:  Much of this posting is from personal observation yesterday in a game where the regulars were mostly pulled after several innings.  Winfield may have big holes in his defensive game that didn't show up (he didn't have to pick any bad throws, for example), but I'll take what I saw so far.  David Thornley ""Have tickets, will travel to Dome""  "
baseball,"   Hi all,  I've been locked in a small closet chained to a lab bench for the last week or two without access to really important information.  I saw the 3.5 million will he get this year?)  Nothing personal against Higuera mind you, just wondering how Bud can keep coffing up money for him when he lets current big producers go over a relative pittance. (Please realize the term  ""relative pittance"" can only be used with sarcasm when discussing baseball salaries.)  he looking and where is he going to fit in the rotation?  How is Surhoff shaping up defensively at third?  Are they going to build a new stadium?  When?  Tom "
baseball,"  I should be so lucky: the account number must have been rejected! :-)   To be accurate, it is ""Big Bang Ben"" MacDonald.   I hope not.  To think that I would inadvertantly give any pleasure to Mulroney _really_ ruins my day.  PS: Matthew Wall: a marvellous ending to the section on the Expos.  subject line BBDDD   Realizing the taterific importance of this work, John Palmer and I concluded that we might be able to pool some resources. I have not yet gone through the archives that Jonathan sent to me; when I do, I will send out an ""official"" introduction to the Deep Drive Derby.  However, I wonder if we need to rename the project, now that the principal investigator and research archive have changed. Send your suggestions for a rename of the study to me, at the address given above.  And, just think:  it's opening day.  Soon, the balls will be flying out (no, get your minds out of the gutter) of the ball parks, and helpless bystanders will be injured by balls reentering the atmosphere. (and you thought that meteorite showers were made of rocks!)  Who will be the stars this year? Can anyone hope to combat Brad Arnsberg's record start to last year?  The season is young, the balls newly rubbed in mud, the hot dogs starting to boil for the rest of the year. Play ball (and take cover).  And may all your sliders hang.  Vince. "
baseball,     Last weeks Sports Illustrated has a couple of big articles on the designated hitter.  It is the 1993 baseball issue.                                                                            Th                        is weeks Sports Illustrated 
baseball,"       Philadelphia at Chicago:  Teams tied for 1st after Sunday      Dick Redding battled Chet Brewer in the first game of a dramatic four game series.  One Friday, one Saturday, and a good-old Sunday doubleheader. ""What could be better,"" declared Ernie Banks.  Perhaps the fact that the Cubs are challenging?      ""It's pitching, it's always been pitching that we've lacked,"" announced Ryne Sandberg.  ""If we can get by Brewer, then beat Carlton, Alexander, or Bunning - preferrably 2 of the last three - we'll know we might be able to win.      ""Lord, I hope we pull it off.""      The Phils scored once in the top of the first; Richie Ashburn singled, Pete Rose followed with a hit, sending Ashburn around second.  Kiki Cuyler cut the ball off in left center, and threw a bullet in to Ernie Banks, who threw to Ron Santo to get Ashburn at third.  Rose went to second on the play.      Christobel Torrienti lifted a long fly to center, moving Pete Rose to third.  Schmidt was walked - the Cubs were absolutely refusing to let him beat them.  Both Torrienti and Schmidt will likely draw 130-150 walks this year.  Chuck Klein is starting to hit very well, and he lashed a double into a gap in right-center.  ""Cool Papa"" Bell's speed allowed him to cut the ball off and prevent Schmidt from scoring.  Nellie Fox was walked, and Bob Boone grounded out to second, ending the threat.        ""Teams are starting to realize that you don't have to pitch to Schmidt or Torrienti, and that is lowering their run total.  It puts a lot of pressure on Klein and Dick Allen (who platoons with Chuck Klein and occasionally spells Rose at first), and it's a credit to the Phillies that they've been able to sustain their pace.  The picthers have slumped at times.""  So came the analysis from Frank Chance.      The Cubs got that run back when Bell bunted for a hit, Thomas' grounder moved him to second, and - after Sandberg made out - Billy Williams singled home a run.  In the sixth, Ron Santo launched a two-run homer to make it 3-1.  Dick Redding got in trouble in the eighth, as Schmidt singled and Klein singled him to third.  Ed Reulbach entered to face Fox, but Dick Allen popped out of the dugout to hit.  Allen doubled to right, but luckily for the Cubs, Williams had moved to left and Andre Dawson had been inserted for defense. He fired a bullet to home plate to keep Klein at third.  Lance Parrish, hitting for Boone, was walked, and Bruce Sutter entered.  Larry Bowa grounded into a 1-2-3 double play, but Ed Delahanty walked as a pinch-hitter.  Desiring a strikeout, since Ashburn was likely to attempt a bunt hit with the quick Trillo pinch-running at third, Chance brought in Lee Smith, who induced a pop-up to the catcher from the speedy centerfielder, ending the inning.  The Cubs took the win, 3-2, moving a game behind the Phillies.      Steve Carlton was called upon to battle 3-Finger Brown Saturday.  To get another righthander in the lineup, Ron Santo moved to first and Bill Madlock played third.  Unfortunately, Brown allowed six doubles, and the Cub bullpen was worn down even more, as the Cubs tried to maintain a lead against Lefty.  Madlock, batting sixth, had knocked two doubles of his own, driving home four runs.  Gabby Hartnett hit two home runs, and Cuyler added another, and the score was 8-6, Cubs after six innings.  The Phillie bullpen had more troubles in the bottom of the eighth, as the Cubs grabbed 3 more runs to ice an 11-7 triumph.      Sunday's twin bill saw Cool Papa Bell gather seven straight hits at one point, including a rare outside-the-park home run in the second game, off Robin Roberts.  Grover Alexander of the Phils took the first contest, 4-2, but the Cubs captured the second one 5-4, with Waddell gaining the win.  Bruce Sutter tossed two innings for the save, though he allowed one run in the eighth.  The Cardinals stood half a game behind these co-leaders, and would conclude their series with the Expos on Monday."
baseball," (Dave 'This has never happened to me before' Kirsch) writes:  I thought Bill James' latest book completely and totally sucked.  I bought it, but will not purchase anything of his ever again without THOROUGHLY looking at it first.  What tripe.  The book is inconsistent, and filled with selective analysis.  James claims to be looking forward, and then makes some absolutely bizarre statements of value.  Not only that, but I got the impression he probably glanced at the book for about an hour before he put his name on it.   To say I was disappointed is a grand understatement.  "
baseball," Could somebody please tell me if there is a Dodgers newsletter on the Net, and if so how to subscribe?  Thanks, Joel "
baseball, I only caught the tail end of this one on ESPN.  Does anyone have a report? (Look at all that Teal!!!!  BLEAH!!!!!!!!!) 
baseball," White) writes:  Wasn't there an 85,000 New York at Cleveland game in the late 40's?  jhon rickert prediction for 1993:  Marlins: 70 wins, Rockies: 50 wins "
baseball," Let's look at the effects of inflation on 1930's superstars' salaries.  I read once that the Babe made $80,000 one year and that was about as good  as it got for him.  Let's assume he made that in 1928 (I'm not sure of the figures, but I know  Today, assuming a 4% yearly inflation rate, which is an understatement if not accurate, his measly $80,000 salary would be worth.  FV = $80,000 x (1+4%)^(1993-1928)    = $80,000 x (1.04)^65    = just over $1,000,000.  Assuming inflation is average of around 5%.  FV = $80,000 x (1+5%)^65    = almost 2,000,000.  (I didn't crunch these numbers beforehand).  These numbers might lead one to believe that today's players are slightly  overpaid.  The Babe appears to have made then what today's average to above average players make now.  Perfectly accurate salary, year of salary, and  average inflation rate would make this analysis more accurate, but I don`t  think I'm off by much.  Chop Chop  Michael Mule'    "
baseball,  Erickson did go on the 15 day DL with a pulled muscle in his left side (near  rib cage).  He is on until 4/18/93.  No news as to who the Twins will bring up.
baseball,  This list is published every week in Baseball Weekly.
baseball,"  Up to this point, I really thought this had been written by a  pro-SDCN, anti-mediot poster blessed with a certain talent for sarcasm and biting remarks.  Somebody like me, for instance. The lurid overstatements were obviously intended to humiliate the original poster.   But then the scales were lifted from my eyes.  Looks like Robert is really being serious.  Oh, well.  I compare the performance of the 1992 Phillies with the 1987 edition, which had outstanding run producers at every position except SS, yet finished at a frustrating sub-.500 level.  The 1987 folks didn't  ever amount to anything, and neither will the 1992 squad, IMHO.  Any other parallels with previous years' teams for this year's editions (in the style of 1993 Braves = 1971 Orioles)?"
baseball,"    Ladies and gentlemen, boys and girls, lend me your ears for but a moment,     The National Legue Eastern Division Champions will be the...              Philadelphia Phillies     I one hundred and ten percent guarantee!!!     Chamberlain Hollins Dykstra Incaviglia Jackson Williams  Daulton Greene Kruk Mulholland Rivera Thompson Duncan      Watch us soar in 1993!  "
baseball,"  jayson stark (i trhink that's him) fits perfectly in this category.  anyone who writes ""dean palmer has 2 homers  - at this pace, he'll  have 324 home runs!"" should be shot.  if, at the end of april, he has 11, and anyone writes ""at this  pace, he'll have 100+ homers!"" they shouldbe shot too.  - bob gaj "
baseball," hmm - i thought francesca's predictions ALWAYS hovered at or below  .500, especially in the nfl.  (not counting college football  bowl day).  he's a nice analyst for explaining past tense, and for mapping out  what plays teams might do - but for predicting the future, he only  looks good whne compared to russo.  - bob gaj "
baseball,"  [Most of tirade deleted .. I have an editor and know how to use it]     Either this is an example of *great* sarcasm or I'm really, really worried. "
baseball,"   Are most players who come up young always good when they're young, or later?   Damn.  I was afraid you would say that!   Well, perhaps if the Braves had no one else worth playing this year it would be Lopez in there.  But they do have others worth playing, at least in *their* opinion.  And I happen to agree.   I can believe that.  I'm a newbie here, so I'll take your word.  But Alomar *is* a fine defensive catcher, which was my statement above. That is a solid reason for bringing him up at a tender age, as long as they feel he can also hit a bit.  Lopez does not have such a consensus about his defensive prowess, and imho that is enough to give him that dreaded ""seasoning"".   Sorry.  New.  Don't know Nichols' Law.  Don't believe in catchers' era.  But I am interested in pitchers' eras with different catchers. Any info on that?   In other words, we know more than they do, so the only logic behind  a different decision than we would make must be financial.  I presume we feel this way about other franchises than Atlanta, no?   Well if it does make organizational sense, one can hardly fault them for their decisions.  I mean, please don't tell me how to run my business.  Especially when I'm being successful.   I'm sure you could be right.  You could also be smoking some illegal substance.  (Hey.  That's a joke.  Don't get offended.  Please.)  Well, I can't cite anyone's ethical rectitude because I don't know what it means.  :)  But again, if it makes organizational sense, then so be it.  Baseball is a business, and if there is a solid business reason for keeping Lopez on the farm then that's what the Braves *should* do.  I happen to believe that it's a baseball decision.  While you from your armchair may disagee, I don't.  I think there is a lot of evidence to suggest the decision they made.  I predicted it among large guffaws from several at the start of spring training.  I think it is a very *normal* decision to have made.  It is certainly more reversible than to have started Lopez in the bigs and have released one of their catchers.  Sure, it may be conservative.  It may also be logical.  I don't know what ethics have to do with it. Seems like pretty good common sense to me. "
baseball," Robert C Hite writes  I think the only Phillies in effect here are Philly Blunts.  Of course, if this   all becomes true, I'll be the first to smoke one myself. "
baseball,    Neither did he!   Overall?  How do you figure?   So far my radio hasn't exploded from not being tuned to 660...   Roger 
baseball,"  Excellent point.  I hope to God that Ted Simmons doesn't get the weird idea of trading for the guy.  And if he does, he had better not and Jeff King for Vaughn and Greg Blosser?  It would be worse than The Nichols Curse!  Hmm, I guess that doesn't sound sincere enough.  Oh well, at least I tried...  jking "
