text,label
"From: dabl2@nlm.nih.gov (Don A.B. Lindbergh)
Subject: Diamond SS24X, Win 3.1, Mouse cursor
Organization: National Library of Medicine
Lines: 10


Anybody seen mouse cursor distortion running the Diamond 1024x768x256 driver?
Sorry, don't know the version of the driver (no indication in the menus) but it's a recently
delivered Gateway system.  Am going to try the latest drivers from Diamond BBS but wondered
if anyone else had seen this.

post or email

--Don Lindbergh
dabl2@lhc.nlm.nih.gov
",2
"From: danmg@grok85.ColumbiaSC.NCR.COM (Daniel Adams)
Subject: Re: BMW 3 series for 94?
Nntp-Posting-Host: grok85.columbiasc.ncr.com
Reply-To: dan@Grok85.ColumbiaSC.NCR.COM
Organization: NCR Corporation
Lines: 19

In article <1qll56INNp9r@uwm.edu>, qazi@csd4.csd.uwm.edu (Aamir Hafeez Qazi) writes:
|> From article <eabu288-140493210752@dialin33635.slip.nts.uci.edu>, by eabu288@orion.oac.uci.edu (Alvin):
|> >
|> > Is there going to be a BMW 328 in 1994?
|> 
|> --Could be.  Isn't the 2.5 liter six supposed to be enlarged to 2.8 liters
|>   in the not-too-distant future?
|> 

Makes sense, since the new Mercedes Benz engines go from 2.2L-4 to a 2.8L-6.
Nothing in between.  BTW, I beleive the numbers on those MB engines are
156 and 225 hp respectively.  The one-upmanship in hp might induce BMW
to create a larger six.  Also, the 2.6 190E has lagged behind the 3-er
2.5 for some time wrt hp.   I am sure the Bavarians wouldn't want to be
""shown-up"" by the Schwabians.

PS- those MB engines haven't been released over here yet.

daniel
",7
"From: PA146008@utkvm1.utk.edu (David Veal)
Subject: Re: re: fillibuster
Lines: 188
Organization: University of Tennessee Computing Center

In article <C5ovFr.C0u@dscomsa.desy.de> hallam@dscomsa.desy.de (Phill Hallam-Baker) writes:
>
>In article <VEAL.740.735074621@utkvm1.utk.edu>, VEAL@utkvm1.utk.edu (David Veal) writes:
>
>|>>|>       If the Senate was less powerful than the House of Lords, than
>|>>|>we'd almost have to state that the House of Representatives was also.
>|>>|>(In fact, they both were, because the British government had much
>|>>|>greater power than did the American system).       
>|>>
>|>>In principle no, in practice yes. 
>|>
>|>        In principle no?  That they had less power of that they should have
>|>had less power?
>
>The British parliament in principle has absolute power. So does the Monarch.
>Much of the stability of the system rests on what is not defined clearly.
>In the case of a clear abuse by one side or the other the other side
>can act to remedy the situation.

      Two institutions with absolute power.  Cute.

      Let's talk practicality, shall we?  If the Monarch tried to
do something, what would happen?
  
>|>>If they were to start from a social welfare model instead of the current 
>|>>""no state subsidy motto"" they would be better placed. As it is there is
>|>>plenty of state money being handed out. The problem is that it is
>|>>distributed on the basis of power in congress and not on the basis of
>|>>actual need. 
>|>
>|>       Bingo.  The higher up the governmental ladder the less actual
>|>need matters, because political power can be concentrated at higher
>|>levels, while people with less cloud only find themselves reduced to
>|>in effectiveness.
>
>That was not my point. 

       But you illustrated the problem very well.

>|>>In order to set up a school project in New York state you have to pay off the
>|>>other 49 states with pork - defense contracts, agricultural subsidies etc.
>|>>Or to be precise 30 of the states since you need 60 to beat the filibuster.
>|>
>|>       Then why not simply leave New York's education to New York?  I
>|>remain unconcinved that there is any state in the Union which is not capable
>|>of educating its own children if that's what they want to do.  
>
>The point is of redistribution of cash from the poor areas of the ecconomy
>to the rich ones. 

       I am contending that there is no state in the Union which does
not have ample wealth, if they choose to spend it, to run a perfectly
acceptable Education system.  (I further contend that the amount of money
being spent now is more then sufficient, but is being spent badly.)

>Or vice versa if you aren't a Republican. 

       So, tell me Phill.  Were the Republicans also responsible for some
of the *huge* increases in social programs?  Or were they *only* 
responsible for what you don't like.  (I contend it is Congress which
is to blame.  Democrat and Republican alike.)

>If society
>simply writes off any areas of the country that is ecconomically weak you
>end up with a basket case ecconomy. There are inevitable cycles in any
>business. Some of these act in phase to produce the ""business cycle"".
>Others are countercyclic. Localities can experience boom to bust cycles
>outside the national trend. To produce a strong ecconomy you need to
>ensure that the bust areas do not fall bellow the level where they
>cannot be ecconomically rebuilt. 

       Most of our worst areas are still better off than most of Europe.
In any case, we're talking about *education*.  

>If the industry in an area collapses
>the US as a whole still has a responsibility to ensure that the children
>in that area get a good education. In some areas of the US schools are closing
>halfway through the year for lack of money.

       Yes, I live in once such area.  You're woefully ignorant of the
situation.

       At the same time some of Tennessee's school districts are closing
down, the Governor asked for 7.5 million dollars for bicentenntial
celebration license plats.  In almost the same breath he wanted to raise
unemployment compensation and reduce taxes which paid into it.
 
       I don't know about the rest of the country, but *our* education
problems stem directly from two problems, neither of which are a lack
of money in the state.  (BTW, Tennessee is considered a ""tax heaven""
and our economy is one of the strongest in the country.  *I* see
a correlation.)  1)  What money we spend goes primarly to administration.
The average administrator makes two and a half times what the average
teacher makes, and sucks up an enormous amount of revenue.  And 2)
the Governor is making a concerted effort to create an ""Education crisis""
in order to push for his pet income tax.  Some of the most idiotic
programs get funded (like State funds for new art in the county seat)
while schools are closing.  It's not a lack of funds.  It's an
unwillingness to spend them on what is more appropriate.  Education
is *the* parental hot-button.  Education is *always* the first to
but cut, because it's easier to get people to pay for their children
than ugly art.

>|>       The U.S. Constitution is a nuts-and-bolts document.  The Delcaration
>|>of Independence was the high-brow reasoning.  (There are a couple of other
>|>examples, though, such as the reasoning for the power to tax, and the
>|>reasoning for the power to grant permits, both in Article I, Section 8.)
>
>The Declaration on independence cam a decade earlier and has not a line
>of justification for the US constitution. You could argue that it went
>into the broad concepts but little more. 

      It spoke very eloquently on government being based on the
consent of the governed.  

>In fact it is little more than
>a protracted whinge. More to do with the price of tea than the design of 
>a government. It would be a pretty daft idea for a bunch of guys to
>sit arround designing the structure of the new government while the little
>matter of the British army remained to be settled. 

      They did it anyway.  The Continental Congress had its own set of
bylaws.  It wasn't quite a government, but a means of making decisions
had to be created.  (However low George Washington's opinion of them were.)

>|>       To a certain extend I do believe the veto has become something
>|>it wasn't intended.  However, I also believe it is inevitable considering
>|>the Congress' own abuse of their power to make bills say whatever they
>|>want them to say.  Unlike most people I think we shouldn't be worrying
>|>about the veto, which is fine, but of the problem in Congress which
>|>almost necessitates its abuse.
>
>The Congress is the most democratic body in the whole system. 

      Allow me again to speak heresy against the Holy Democratic Orders.
So what?  The government was built with a very non-democratic Presidency
with fairly broad powers, including the veto.

>It has not only
>the fairest system of election but the two year term means that the
>members have always got a recent mandate.

      Yes, and the Senate was intended to act as a balance to this.
Too much democracy was intentionally avoided.  It was considered a good
thing to place non-democratic blocks to impulsive action.

>On the other hand if the period of election were to be made 4 years in
>antiphase to the Presidential cycle there would be much less dependence
>on fund raising from special interests than there is at present.

      So long as Congress has something to sell, people will pay for
it.  Most congressmen rake in more money than they need.

>|>       Why not?  What is inherently wrong with biasing the system
>|>against action?  Historically governemnt action in the U.S. when
>|>dealing with issues with a bare minority and a large minority have
>|>not been successful.  When you're in a position of imposing federal
>|>power on diverse people, why should the federal government not have to
>|>got through something more than a bare majority
>
>In other words David thinks that the reactionaries should need only 41
>votes while progressives should need 61.

       No, if the ""progressives"" don't want the ""reactionaries"" to move
backward, they get the same benefit.  41% of the states is a *lot* of
people.  And historically laws with that sort of minority arent'
very effective, especially since it is usually geographically
concentrated.
       When wielding the Federal Big Stick I don't see why they shouldn't
have to make a better argument than, ""more people than not,"" agree.
       
>Now we know why nobody calls the Republicans democrats.

       I'm not a Republican.  I'm a republican.  :-)
       
       And no, I'm neither a Democrat nor a democrat.
       
       Now, I've asked several times, and all you've done is answer
""It isn't democratic,"" which I knew before I said it.  Why *should*
it be democratic?  We don't have a true direct democracy, and few
people advocate one.  Why, then, is this other modification of
democracy to bias it against action so much worse?

------------------------------------------------------------------------
David Veal Univ. of Tenn. Div. of Cont. Education Info. Services Group
PA146008@utkvm1.utk.edu - ""I still remember the way you laughed, the day
your pushed me down the elevator shaft;  I'm beginning to think you don't
love me anymore."" - ""Weird Al""
",18
"From: u895027@franklin.cc.utas.edu.au (Mark Mackey)
Subject: Raytracers: which is best?
Organization: University of Tasmania, Australia.
Lines: 15

Hi all!
	I've just recently become seriously hooked on POV, but there are a few
thing that I want to do that POV won't do (penumbral shadows, dispersion
etc.). I was just wondering: what other shareware/freeware raytracers are
out there, and what can they do? I've heard of Vivid and Polyray and 
Rayshade and so on, but I'd rather no wade through several hundred pages of 
manual for each trying to work out what their capabilities are. Can anyone
help? A comparison of tracing speed between each program would also be 
mucho useful.
											Mark.

-------------------------------------------------------------------------------
Mark Mackey                 | Life is a terminal disease and oxygen is         
mmackey@aqueous.ml.csiro.au | addictive. Are _you_ hooked?                  
-------------------------------------------------------------------------------
",1
"From: cescript@mtu.edu (Charles Scripter)
Subject: Re: Some more about gun control...
Nntp-Posting-Host: fishlab3.fsh.mtu.edu
Organization: Help, my server's fallen, and can't get up (MTU)
X-Newsreader: TIN [version 1.1 PL8]
Lines: 185

In article <C5Bu9M.2K7@ulowell.ulowell.edu>
jrutledg@cs.ulowell.edu (John Lawrence Rutledge) wrote:

> In article <1q96tpINNpcn@gap.caltech.edu> arc@cco.caltech.edu
> (Aaron Ray Clements) writes:
> >The Second Amendment is a guarantee of the right to bear arms.  Clearly
> >and unequivocally, without infringement.

> Unfortunately the Second Amendment is not as clear as you state.  If last 
> part of it is taken along, it follows what you have said.  The problem
> I have is with the first part of the single sentence which makes up the
> amendment.  The Second Amendment is:

> 	A well regulated militia, being necessary to the security 
                         ^^^^^^^ Militia

> 	of a free state, the right of the people to keep and bear 
                  ^^^^^ State

> 	arms, shall not be infringed.
        ^^^^ Arms

You didn't even get the capitalization correct!  Try reading USCA on
the Constitution, or get any other CORRECT version of the
Constitution. 

> This mention of a well regulated militia is what confuses me.  According
> to the Federalist Paper's, a well regulated militia has a well defined 
> structure and follows nationally uniform regulations.

Perhaps you should actually READ the Federalist Papers!!

    James Madison, Federalist Paper 46: ""Besides the advantage of
    being armed, which the Americans possess over the people of almost
    every other nation, the existence of subordinate governments, to
    which the people are attached, and by which the militia officers
    are appointed, forms a barrier against the enterprises of
    ambition, more insurmountable than any which a simple government
    of any form can admit of.  Notwithstanding the military
    establishments in the several kingdoms of Europe, which are
    carried as far as the public resources will bear, the governments
    are afraid to trust the people with arms.""
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^

    James Madison, I Annals of Congress 434, 8 June 1789: ""The right
    of the people to keep and bear... arms shall not be infringed.  A
    well regulated militia, composed of the body of the people,
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    trained to arms, is the best and most natural defense of a free
    country...""

    Alexander Hamilton, Federalist Paper 29 (on the organization of
    the militia): ""Little more can reasonably be aimed at, with
    respect to the people at large, than to have them properly armed
               ^^^^^^^^^^^^^^^^^^^
    and equipped; and in order to see that this be not neglected, it
    will be necessary to assemble them once or twice in the course of
    a year.""

    Alexander Hamilton, Federalist Paper 29 (speaking of standing
    armies): ""... if circumstances should at any time oblige the
    government to form an army of any magnitude that army can never be
    formidable to the liberties of the people while there is a large
    body of citizens, little, if at all, inferior to them in
    ^^^^^^^^^^^^^^^^
    discipline and the use of arms, who stand ready to defend their
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^*****
    own rights and those of their fellow-citizens.""
    ***^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

But *surely* Hamilton and Madison didn't mean the PEOPLE when they
said ""people"", right?  That's why the Amendment refers to ""the Right
of the Militia""?...  ;-)

> Your average 
> 17-45 year old male does not fall into the definition.

You're right, the Militia consists of ALL able bodied males (and
probably females under current interpretation). 

> Therefore most
> members of The Militia, the one the every gun advocate refers to, are
> not members of a well organized militia and therefore are not directly

The Amendment does nor refer to ""well organized"", it says ""well
regulated"".  I have some targets you may examine if you wish to check
how _well regulated_ I am. 

> mentioned in the amendment.

> If this amendment wanted to allow every member of The Militia to keep
> and bear arms, why did it specificly mention a ""well organized militia"" 
> in the SAME SENTENCE as the right to keep and bear arms?

Correct.  That's why the Right is reserved to the People.  And that
was to insure the People could form a ""well regulated Militia"", not a
""well organized militia"".

> It could be
> argued that the first part of the sentence is separate from the last 
> part.  If so, why was it include in the same atomic unit of written

What do Atomic Units have to do with this argument?  Any moron can set
h_bar = C = 1...

> instead of a separate sentence?

Oh, I see what your question is; Why don't you read the federalist
Papers?! 

    James Madison, Federalist Paper 41 (regarding the ""General
    Welfare"" clause): ""Nothing is more natural nor common than first
    to use a general phrase, and then to explain and qualify it by a
    recital of particulars.""

But what does Madison know about the grammatical style of the 2nd?  He
only wrote it.

> The amendment also implies that the right to arms has to due with 
> the security of a free state.  The Federalist Paper's mention of a
> well regulated militia gives many examples of how this militia protects
> the security of a free state.  All these examples are actions of a
> very organized force, not some John Q. Public with a gun.

That's obviously because you've never actually *read* the Federalist
Papers. 

> All that the Second Amendment clearly states to me is that the people's
> right to form well regulated militias shall not be infringed.  That is 
> people have the right to join a well organized militia.  This well
> organized militia will, of course, provide training in how to use arms
> and in basic military tactics.  These training members of the militia
> can keep and bear the arms.

Can't read, huh?  Show me where the document says ""well organized
militia"". 

> Lastly, reading through the Federalist Paper's on well organized 
> militia it is very clear that many of the reasons for these militias.
> One reason stated is the protection from a standing army.  These days
> the standing army could easily defeat a group consisting of every 
> 17-45 year old male and female not in the armied forces.

That is *exactly* why EVERY PERSON should be allowed to own *any*
weapon currently in use in the armed forces.

> Another
> reason stated for well organized militias is to reduced the need
> for a standing army.  Well, the US Armied Forces have been a standing
> army for more than half the history of the US.

But the major reason is to protect against that very same army.

> It seems to me the whole reason for the Second Amendment, to give
> the people protection from the US government by guaranteeing that the
> people can over through the government if necessary, is a little bit
> of an anachronism is this day and age.  Maybe its time to re-think
> how this should be done and amend the constitution appropriately.

    Abraham Lincoln, First Inaugural Address, March 4, 1861: ""This
    country, with its institutions, belongs to the people who inhabit
    it.  Whenever they shall grow weary of the existing government,
    they can exercise their constitutional right of amending it, or
    their revolutionary right to dismember it or overthrow it.""

    Rep. Elbridge Gerry of Massachusetts, spoken during floor debate
    over the Second Amendment, I Annals of Congress at 750, 17 August
    1789: ""What, Sir, is the use of a militia?  It is to prevent the
    establishment of a standing army, the bane of liberty. ...
    Whenever Governments mean to invade the rights and liberties of
    the people, they always attempt to destroy the militia, in order
    to raise an army upon their ruins.""

So now we know which category Mr. Rutledge is in; He means to destroy
our Liberties and Rights.

--
Charles Scripter   *   cescript@phy.mtu.edu
Dept of Physics, Michigan Tech, Houghton, MI 49931
-------------------------------------------------------------
""...when all government... in little as in great things, shall be
drawn to Washington as the centre of all power, it will render
powerless the checks provided of one government on another and will
become as venal and oppressive as the government from which we
separated.""   Thomas Jefferson, 1821
",16
"From: prb@access.digex.com (Pat)
Subject: Re: Alaska Pipeline and Space Station!
Organization: Express Access Online Communications USA
Lines: 25
NNTP-Posting-Host: access.digex.net

In article <1993Apr5.160550.7592@mksol.dseg.ti.com> mccall@mksol.dseg.ti.com (fred j mccall 575-3539) writes:
|
|I think this would be a great way to build it, but unfortunately
|current spending rules don't permit it to be workable.  For this to
|work it would be necessary for the government to guarantee a certain
|minimum amount of business in order to sufficiently reduce the risk
|enough to make this attractive to a private firm.  Since they
|generally can't allocate money except one year at a time, the
|government can't provide such a tenant guarantee.


Fred.

	Try reading a bit.  THe government does lots of multi year
contracts with Penalty for cancellation clauses.  They just like to be
damn sure they know what they are doing before they sign a multi year
contract.   THe reason they aren't cutting defense spending as much
as they would like is the Reagan administration signed enough
Multi year contracts,  that it's now cheaper to just finish them out.

Look at SSF.  THis years funding is 2.2 Billion,  1.8 of which will
cover penalty clauses, due to the re-design.

pat

",14
"From: rich.bellacera@amail.amdahl.com
Subject: Part 1 and part 2  (re: Homosexuality)
Lines: 114
Return-Path: <amail.amdahl.com!rich.bellacera@juts.ccc.amdahl.com>

Tony-

I read your post, it was nothing new, I had seen much the same in other
typical""Christian"" anti-gay sentimental literature.  Gay people are and will
con- tinue to be persecuted as long as such propaganda petpetuates.  You may
be unaware of all the statistica ""findings"" concerning African-Americans that
have been published and used by various groups to re-enforce their own bias
against African-Americans.  We usually think of the KKK in these instances,
but there are many other groups.  Of course, the vast majority of the public
scoff at such findings and documents today, but that was not always the case.
Fortunately African-Americans had ""whites"" who supported their 'cause' and
public sentiment was eventually (if not entirely) turned around.  There was
even a Civil War, and anti-negro sentiment increased.  In fact, until laws
were put in place to protect the inalienable rights of Blacks it was pretty
much legal to discriminate against them.

I know many gays and I will NOT turn my back on them or their right to be free
form discrimination.  You may think that I have been deceived or something,
that is your perogative.  My church, Christian Church (Disciples of Christ)
openly affirms the rights of oppressed people of all segments of society,
including gays.  We believe the Gospel message of preaching to all creation
and making disciples.  We believe in the Lord's great commandment to Love,
and we beleive in standing up for the oppressed, even if it is not popular
to do so.  I really like my church for last reason the most.  I can find a
church almost anywhere in the valley that stands for the Gospel and believes
in the commandment of Love (though I'm hard-pressed to find many who actually
sho Love), but not many are willing to champion the oppressed, especially
within their own community.  I may have lost face with the greater Christian
community for the unpopularity of my beliefs, but so did the abolitionists
against the oppression of African-Americans.  Many were even killed and
treated as runaway slaves for being ""nigger-lovers"" and such.  I guess I've
decided the challenge is worth it.

In my talks with gay men and women I have heard tragic story after tragic
story centering around failed marriages, wives and husbands who are straight
who have been hurt in the process, etc.  Funny thing is, I don't know of one
case where the parents, ex-wives, or even children have continued to reject
their gay family member (son, daughter, ex-husband, father, etc.) after they
began to take part in some form of support group, like PFLAG.

I'm apalled by the legislation which passed in Colorado, and am equally out0
raged that such slimey people as Louis Sheldon (from the Tradition Values
Coalition) have been actively working in the Christian underground to garner
support within several (8 I believe) states this coming November for more
oppressive legisation against gays.

Perhaps you don't get it, and maybe you never will.  Many didn't get it in the
Middle Ages and the proclaimed God's will be done as they massacred thousands
in witch hunts and inquisitions.

The message that comes through, loud and clear, by proponents against gay
rights and against gays in general, is that there is a strong dislike, even
hatred for gays, whether you want to call it such or not (it doesn't change
the results).  The major flaw in all this posturing is that in the end, the
final effect of posts like that of yours and Mr. Hudson is that YOU have a
""conditional"" love for gays.  Condition:  Change and we'll love you. This is
sure strange coming from a group who claim that God has an ""unconditional""
love, one that calls people ""just as they are.""  Sure there are things that
will 'naturally' change, and habits (like alcoholism, wife beating, etc.) that
need to be changed through some sort of therapy.  But then there are things
like left-handedness, etc. that no amount of beating it out of people, is
going to result in anything more than an outward conforminty to ""other
people's expectations."" In the process this coerced conformity causes many
people a great deal of harm, especially when it is caused by people who have
nothing more to gain from it that to become even more puffed up about their
own sense of pseuper-spirituality.

This is sad, but I thoroughly believe that one day it will change.  It may be
unpopular to cry for justice and equality when the basis has to do with
something very personal like 'sexuality' (a taboo subject even today), but I
firmly believe in the rights of individuals to be free from impose regulation
on thier bedrooms.  It's funny that most straight people have successfully
removed restrictive and oppressive legislation against invasive legislation,
but we like to maintain this little chestnut of repression...as though it
helps us maintain a sense of superiority over at least one segment of society.
Gay people are not criminals.

Another interesting thing happened recently.  A very prominent charismatic
church in the Silicon Valley (here) had two of it's pastors arrested for self-
admitted charges of pederasty (men having sex with boys).  This had apparently
been going on for some time (a couple years?), but since the charges were
voluntary, and the church worked closely with the police, so I imagine that
was how they managed to downplay it in the media.  How could such a thing
happen when the church, itself, has an ex-gay ministry?  One of my friends
recently told me he was ""approached"" by someone who is going through the
reparitive therapy there, and he was thoroughly convinced that the request for
dinner was not an invitation to attend the ministry.

These are difficult times we live in, but providing hostile environments and
creating and perpetuating an atmosphere that breed hate and violence is not
the call of the Christian community.  The results of the passing amendment in
Colorado has created an organization who's posters are appearing all over
Colorado called ""S.T.R.A.I.G.H.T."" (I forget the whole definition off hand,
but the last part was Against Immoral Gross Homosexual Trash) and their motto
is ""Working for a fag-free America"" with an implicit advocation for violence.

This is sick, and it seems to be what you and Mr. Hudson, and others are
embracing.

We Christians have a LOOOOOOOOOONG tradition of coersion and oppression
towards those we feel don't 'measure up', and constant beratement from
organizations like The Christian Research Institute, while they do have a good
purpose also, their major work seems to be finding new and better ways of
excluding people.

The Gospel I believe is not so negative, rather it seeks ways to ""include""
people.  I have several of Dr. Martin's books and find them quite helpful,
especially concerning 'cults.' But it seems that CRI, has become a cult unto
itself.  Why don't we just stick to the positive and find ways to bring people
to Jesus istead of taking bullwhips and driving them away?

Whatever

Rich :-(
",19
"From: phs431d@vaxc.cc.monash.edu.au
Subject: Re: The arrogance of Christians
Organization: Monash University - Melbourne. Australia.
Lines: 41

In article <Apr.13.00.08.47.1993.28427@athos.rutgers.edu>, hayesstw@risc1.unisa.ac.za (Steve Hayes) writes:
> 
> Say, for example, there are people living on a volcanic island, and a group 
> of geologists determine that a volcano is imminent. They warn the people on 
> the island that they are in danger, and should leave. A group of people on 
> the island is given the task of warning others of the danger.
> 
> They believe the danger is real, but others may not. 
> 
> Does that mean that the first group are NECESSARILY arrogant in warning 
> others of the danger? Does it mean that they are saying that their beliefs 
> are correct, and all others are false?

But what if the geologists are wrong and these people are warning of a
non-existent danger?  Analogies can only push an argument so far (on both
sides).  Both Melinda's and yours assume the premises used to set up your
respective analogies are true and thus the correct conclusion will arise.

The important point to note is the different directions both sides come from.
Christians believe they know the TRUTH and thus believe they have the right
(and duty) to tell the TRUTH to all.  

Christians can get offended if others do not believe (what is self-evidently
to them) the TRUTH. Non-christians do not believe this is the TRUTH and get
offended at them because they (christians) claim to know the TRUTH.

(BTW this argument goes for anyone, I am not just bagging christians)

Neither side can be really reconciled unless one of the parties changes their
mind.  As Melinda pointed out, there is no point in arguing along these lines
because both approach from a different premise.  A more useful line of
discussion is WHY people believe in particular faiths.

Personally, I don't mind what anyone believes as long as they allow me mine
and we can all live peacefully.

> Steve Hayes, Department of Missiology & Editorial Department

-- 
Don Lowe, Department of Physics, Monash University, 
Melbourne, Victoria, Australia, 3168.
",15
"From: dcoleman@utxvms.cc.utexas.edu (Daniel M. Coleman)
Subject: Re: Do the 2MB ATI Ultra Pro 16 and 24 bit Windows Drivers Work?
Lines: 47
Nntp-Posting-Host: ecru.cc.utexas.edu
Organization: The University of Texas at Austin
Lines: 47

In article <87402@ut-emx.uucp>, reza@magellan.ae.utexas.edu (Alireza Vali) writes:
> Hi there.  We just bought a 486 DX2/66 Gateway system with a 2 meg ATI
> Ultra Pro video card.  Everything seems to work fine except for the
> Windows Drivers for 800x600 24 bit, and 800x600 and 1024x768 16 bit
> modes.  The fonts and icons start deteriorating after windows startup,
> and within minutes of use, everything on the screen is totally
> unintelligible.  Naturally, I called Gateway tech support to inquire
> about this.  The technician asked me about the drivers, and I told him it
> was version 1.5, build 59.  He told me that the 16 and 24 bit drivers for
> the ATI Ultra Pro simply do not work!!!  Is this true?  If so, I'm simply
> amazed.  How could this be?  The strange thing is I would have expected
> to see some discussion on here (unless the subject has made the FAQ!!!).
> 
> One very suspicious point that came up later was that he stated that none
> of the Windows Accelerator boards have working 16 and/or 24 bit drivers
> for Windows 3.1.  I easily challenged him on that because I've been
> running a Diamond 24x in 15 bit mode at home for 4 months now, and I have
> tested and used the 24 bit mode as well.  He then backed off and said:
> ""Well, Diamond has been working on those drivers much longer.""  Anyway, I
> just wanted to see if anyone else had any trouble and what they did about
> it.  Any feedback will be appreciated.
> 
> The system configuration is:
> 
> Gateway 486 DX2/66 Local Bus
> 16 Megs Ram
> SCSI HD & CD-ROM
> Ultrastor 34F Local Bus SCSI controller
> ATI Ultra Pro Local Bus with 2MB VRAM
> DOS 6.0
> Windows 3.1
> Mach 32 drivers version 1.5 (build 59)

I have been able to successfully use both 16 and 24 bit color modes on my
Gateway system, although my setup is less complicated than yours.  It sounds as
if you may have a hardware conflict or problem.  Is your memory aperture above
16M?  I have heard rumors of incompatibilities with that SCSI card with a
variety of systems.  Call up Gateway and give them hell until they help you
fix it.

Dan

-- 
Daniel Matthew Coleman		   |   Internet: dcoleman@utxvms.cc.utexas.edu
-----------------------------------+---------- : dcoleman@ccwf.cc.utexas.edu
The University of Texas at Austin  |	 DECnet: UTXVMS::DCOLEMAN
Electrical/Computer Engineering	   |	 BITNET: DCOLEMAN@UTXVMS [.BITNET]
",3
"From: gary@colossus.cgd.ucar.edu (Gary Strand)
Subject: Re: The Slaughter
Organization: Climate and Global Dynamics Division/NCAR, Boulder, CO
Lines: 16

  [followups to talk.politics.guns]

rl> Russell Lawrence
kr> Karl Rominger

kr> I support the right of any citizen with out a criminal history to own and
    use firearms, regardless of race, gender, and RELIGION.

rl> Thanks for admitting that you, yourself, adhere to an illogical dogma.

  Well, folks in t.p.guns, want to show how Russell's ""illogical dogma"" is
  wrong?

--
Gary Strand                      Opinions stated herein are mine alone and are
strandwg@ncar.ucar.edu            not representative of NCAR, UCAR, or the NSF
",16
