Invoice,Item
T1016,240
T1009,195
T1039,222
T1041,249
T1005,104
T1031,167
T1036,160
T1013,221
T1035,241
T1031,202
T1041,139
T1015,139
T1034,200
T1048,104
T1043,117
T1011,111
T1020,108
T1018,222
T1039,200
T1046,210
T1026,248
T1029,135
T1024,125
T1003,135
T1032,156
T1017,212
T1050,178
T1027,230
T1025,247
T1023,237
T1038,205
T1038,160
T1022,108
T1018,142
T1045,184
T1035,247
T1037,127
T1046,155
T1041,247
T1018,173
T1008,117
T1031,224
T1006,189
T1005,206
T1010,106
T1019,210
T1050,207
T1008,112
T1039,112
T1025,185
T1036,172
T1033,161
T1003,180
T1001,120
T1007,238
T1003,151
T1027,175
T1040,168
T1010,111
T1022,181
T1024,136
T1025,197
T1030,234
T1025,244
T1007,230
T1018,211
T1041,161
T1020,212
T1017,234
T1020,241
T1022,103
T1027,249
T1021,106
T1025,135
T1004,186
T1030,191
T1044,191
T1039,172
T1048,226
T1002,116
T1044,106
T1024,165
T1041,217
T1020,182
T1012,194
T1012,181
T1049,195
T1039,168
T1020,197
T1007,107
T1037,134
T1020,229
T1015,169
T1016,184
T1012,212
T1042,125
T1007,183
T1022,158
T1029,144
T1006,187
T1048,156
T1037,216
T1018,158
T1008,109
T1034,149
T1021,248
T1012,172
T1022,122
T1040,189
T1038,134
T1027,175
T1034,170
T1030,189
T1041,207
T1019,208
T1037,205
T1003,206
T1010,152
T1001,223
T1040,231
T1028,244
T1046,157
T1003,217
T1049,233
T1019,240
T1022,159
T1005,174
T1008,163
T1003,109
T1045,232
T1013,211
T1037,113
T1001,224
T1048,131
T1011,229
T1020,162
T1043,106
T1034,238
T1027,114
T1040,130
T1022,133
T1017,239
T1031,116
T1023,157
T1013,132
T1035,131
T1011,162
T1018,133
T1001,225
T1041,247
T1026,113
T1049,170
T1016,169
T1040,235
T1034,209
T1004,222
T1021,101
T1004,133
T1003,132
T1004,118
T1031,109
T1046,123
T1033,229
T1032,181
T1011,181
T1005,190
T1025,200
T1038,178
T1024,168
T1013,185
T1028,132
T1009,243
T1001,198
T1006,246
T1012,111
T1024,218
T1039,239
T1025,112
T1040,211
T1004,196
T1041,228
T1049,181
T1027,208
T1030,105
T1016,156
T1035,170
T1045,119
T1028,158
T1028,134
T1002,184
T1024,244
T1017,132
T1030,132
T1047,236
T1025,128
T1047,182
T1037,237
T1007,102
T1031,137
T1016,200
T1003,235
T1006,245
T1007,197
T1012,107
T1022,132
T1002,130
T1044,224
T1045,173
T1038,177
T1006,110
T1050,245
T1033,236
T1046,162
T1007,242
T1048,126
T1036,116
T1036,184
T1037,147
T1005,162
T1012,164
T1030,201
T1017,195
T1039,202
T1023,243
T1027,122
T1025,229
T1016,206
T1048,142
T1027,246
T1049,249
T1044,233
T1044,224
T1010,203
T1010,142
T1007,228
T1048,224
T1045,233
T1029,148
T1009,169
T1049,151
T1010,250
T1033,181
T1015,238
T1050,176
T1043,206
T1039,250
T1038,169
T1014,179
T1002,169
T1031,198
T1013,145
T1037,193
T1016,183
T1031,137
T1027,223
T1045,153
T1030,249
T1042,243
T1002,224
T1047,119
T1026,112
T1030,159
T1016,118
T1014,166
T1016,149
T1050,167
T1009,148
T1040,110
T1017,144
T1003,181
T1012,209
T1006,122
T1008,124
T1017,175
T1003,192
T1029,249
T1047,187
T1001,108
T1022,185
T1028,198
T1032,120
T1014,250
T1048,226
T1026,133
T1035,182
T1008,171
T1005,211
T1008,213
T1034,165
T1007,236
T1045,196
T1044,195
T1049,216
T1019,168
T1007,187
T1044,245
T1035,235
T1008,227
T1033,191
T1004,176
T1044,245
T1048,147
T1042,139
T1012,195
T1042,217
T1008,128
T1036,137
T1022,208
T1036,177
T1042,148
T1030,224
T1020,146
T1046,118
T1007,147
T1049,242
T1035,248
T1048,201
T1023,126
T1018,170
T1025,114
T1009,111
T1031,230
T1018,164
T1045,232
T1023,186
T1026,215
T1035,118
T1023,228
T1008,139
T1018,126
T1044,129
T1037,129
T1012,149
T1037,207
T1043,201
T1048,133
T1038,138
T1026,150
T1035,236
T1011,246
T1012,152
T1017,195
T1019,108
T1029,205
T1025,181
T1036,250
T1020,228
T1034,177
T1043,224
T1002,149
T1047,101
T1007,160
T1032,145
T1034,218
T1013,150
T1034,155
T1003,229
T1042,214
T1008,245
T1019,140
T1009,220
T1006,113
T1002,193
T1040,160
T1033,120
T1032,238
T1002,187
T1021,185
T1023,135
T1006,109
T1046,121
T1048,188
T1014,117
T1013,212
T1045,157
T1032,181
T1007,111
T1027,120
T1013,142
T1026,228
T1031,118
T1035,209
T1014,226
T1020,106
T1030,218
T1049,203
T1029,147
T1030,110
T1047,166
T1024,195
T1029,236
T1024,203
T1015,101
T1014,167
T1024,137
T1030,237
T1013,141
T1014,106
T1011,250
T1026,229
T1011,108
T1009,129
T1039,144
T1029,226
T1012,116
T1002,204
