pref,pop
All,128057352
Tokyo,13159388
Kanagawa,9048331
Osaka,8865245
Aichi,7410719
Saitama,7194556
Chiba,6216289
Hyogo,5588133
Hokkaido,5506419
Fukuoka,5071968
Shizuoka,3765007
Ibaraki,2969770
Hiroshima,2860750
Kyoto,2636092
Niigata,2374450
Miyagi,2348165
Nagano,2152449
Gifu,2080773
Fukushima,2029064
Gunma,2008068
Tochigi,2007683
Okayama,1945276
Mie,1854724
Kumamoto,1817426
Kagoshima,1706242
Yamaguchi,1451338
Ehime,1431493
Nagasaki,1426779
Shiga,1410777
Nara,1400728
Okinawa,1392818
Aomori,1373339
Iwate,1330147
Oita,1196529
Ishikawa,1169788
Yamagata,1168924
Miyazaki,1135233
Toyama,1093247
Akita,1085997
Wakayama,1002198
Kagawa,995842
Yamanashi,863075
Saga,849788
Fukui,806314
Tokushima,785491
Kochi,764456
Shimane,717397
Tottori,588667
