Jpn,Eng,Math,Phys,Chem
59,57,50,54,46
43,45,47,50,48
48,42,57,57,57
46,46,60,61,54
40,36,31,32,36
59,50,59,54,57
45,42,47,49,38
38,48,47,51,46
60,54,57,53,59
64,63,65,74,74
53,45,33,40,49
47,47,48,48,51
50,41,48,58,58
53,54,58,61,60
51,55,54,53,60
60,49,43,38,47
38,45,48,43,51
55,56,45,44,43
53,52,61,58,61
57,54,42,38,41
62,59,55,54,52
56,55,58,57,57
44,50,50,40,47
43,47,50,53,43
48,43,39,48,44
47,52,40,51,42
49,57,59,59,52
40,37,50,41,45
57,56,60,56,53
59,48,42,37,46
58,53,49,44,43
63,64,55,57,66
41,44,44,43,46
55,45,50,50,53
46,48,44,47,41
58,47,41,36,45
51,43,51,55,53
56,58,50,50,48
58,63,60,53,59
54,52,39,41,46
